time_ms,action,a,b,c
0,STATE,0,0,
202,STATE,1,203,
725,STATE,1,205,
1000,STATE,0,0,
1298,STATE,1,203,
1750,STATE,1,202,
2000,STATE,0,0,
2200,STATE,1,204,
2716,STATE,1,207,
3000,STATE,0,0,
3202,STATE,1,205,
3713,STATE,1,203,
4000,STATE,0,0,
4215,STATE,1,200,
4783,STATE,1,203,
5000,STATE,0,0,
5242,STATE,1,202,
5782,STATE,1,199,
6000,STATE,0,0,
6225,STATE,1,200,
6732,STATE,1,200,
7000,STATE,0,0,
7241,STATE,1,201,
7721,STATE,1,203,
8000,STATE,0,0,
8238,STATE,1,203,
8705,STATE,1,203,
9000,STATE,0,0,
9257,STATE,1,204,
9731,STATE,1,203,
10000,STATE,0,1,
10000,RAISE,1,1000,17000
10223,STATE,1,206,
10772,STATE,1,203,
11000,STATE,0,1,
11212,STATE,1,200,
11776,STATE,1,203,
12000,STATE,0,0,
12000,CLEAR,1,1000,17000
12215,STATE,1,206,
12720,STATE,1,205,
13000,STATE,0,0,
13271,STATE,1,205,
13743,STATE,1,202,
14000,STATE,0,0,
14244,STATE,1,203,
14769,STATE,1,201,
15000,STATE,0,0,
15212,STATE,1,198,
15792,STATE,1,200,
16000,STATE,0,0,
16259,STATE,1,203,
16770,STATE,1,203,
17000,STATE,0,0,
17280,STATE,1,201,
17728,STATE,1,199,
18000,STATE,0,0,
18222,STATE,1,202,
18766,STATE,1,200,
19000,STATE,0,0,
19205,STATE,1,201,
19748,STATE,1,198,
20000,STATE,0,0,
20218,STATE,1,198,
20720,STATE,1,196,
21000,STATE,0,0,
21279,STATE,1,196,
21710,STATE,1,193,
22000,STATE,0,0,
22219,STATE,1,190,
22701,STATE,1,188,
23000,STATE,0,0,
23289,STATE,1,186,
23715,STATE,1,183,
24000,STATE,0,0,
24260,STATE,1,184,
24771,STATE,1,186,
25000,STATE,0,0,
25253,STATE,1,188,
25770,STATE,1,188,
26000,STATE,0,0,
26268,STATE,1,186,
26792,STATE,1,186,
27000,STATE,0,0,
27239,STATE,1,183,
27797,STATE,1,185,
28000,STATE,0,0,
28203,STATE,1,188,
28792,STATE,1,191,
29000,STATE,0,0,
29262,STATE,1,192,
29780,STATE,1,193,
