slot,data_lost,data_delay_ms,ack_lost,ack_delay_ms
0,0,20,0,20
1,0,20,0,20
2,0,20,0,20
3,1,20,0,20
4,1,20,0,20
5,1,20,0,20
6,1,20,0,20
7,1,20,0,20
8,1,20,0,20
9,1,20,0,20
10,1,20,0,20
11,1,20,0,20
12,1,20,0,20
13,0,20,0,20
14,0,20,0,20
15,0,20,0,20
16,0,20,0,20
17,0,20,1,20
18,0,20,0,20
19,0,20,0,20
20,0,20,0,20
21,0,20,0,20
22,0,20,0,20
23,0,20,0,20
24,0,20,0,20
25,0,20,0,20
26,0,20,0,20
27,0,20,0,20
28,0,20,0,20
29,0,20,0,20
30,1,20,0,20
31,1,20,0,20
32,0,20,0,20
33,0,20,0,20
34,0,20,0,20
35,0,20,0,20
36,0,20,0,20
37,0,20,0,20
38,0,20,0,20
39,0,20,0,20
40,0,20,0,20
41,0,20,0,20
42,0,20,0,20
43,1,20,0,20
44,0,20,0,20
45,0,20,0,20
46,0,20,0,20
47,0,20,0,20
48,0,20,0,20
49,0,20,0,20
50,0,20,0,20
51,0,20,0,20
52,0,20,0,20
53,0,20,0,20
54,0,20,0,20
55,0,20,0,20
56,0,20,0,20
57,0,20,0,20
58,0,20,0,20
59,0,20,1,20
60,0,20,0,20
61,0,20,0,20
62,1,20,0,20
63,0,20,0,20
64,0,20,0,20
65,0,20,0,20
66,0,20,0,20
67,0,20,0,20
68,0,20,0,20
69,0,20,0,20
70,0,20,0,20
71,0,20,0,20
72,0,20,0,20
73,0,20,0,20
74,0,20,0,20
75,0,20,0,20
76,0,20,0,20
77,0,20,0,20
78,0,20,0,20
79,0,20,0,20
80,0,20,0,20
81,0,20,0,20
82,0,20,0,20
83,1,20,0,20
84,0,20,0,20
85,0,20,0,20
86,0,20,0,20
87,0,20,0,20
88,0,20,0,20
89,0,20,0,20
90,0,20,0,20
91,0,20,0,20
92,0,20,0,20
93,0,20,0,20
94,0,20,0,20
95,0,20,0,20
96,0,20,0,20
97,0,20,0,20
98,0,20,0,20
99,0,20,0,20
100,0,20,0,20
101,0,20,0,20
102,0,20,0,20
103,0,20,0,20
104,0,20,0,20
105,0,20,0,20
106,0,20,0,20
107,0,20,0,20
108,0,20,0,20
109,0,20,0,20
110,0,20,0,20
111,0,20,0,20
112,0,20,0,20
113,0,20,0,20
114,0,20,0,20
115,0,20,0,20
116,0,20,0,20
117,0,20,0,20
118,0,20,0,20
119,0,20,0,20
120,0,20,0,20
121,0,20,0,20
122,1,20,0,20
123,1,20,0,20
124,1,20,0,20
125,1,20,0,20
126,1,20,0,20
127,1,20,0,20
128,0,20,0,20
129,1,20,0,20
130,1,20,0,20
131,1,20,0,20
132,1,20,0,20
133,1,20,0,20
134,1,20,0,20
135,1,20,0,20
136,1,20,0,20
137,1,20,0,20
138,1,20,0,20
139,1,20,0,20
140,1,20,0,20
141,0,20,0,20
142,0,20,0,20
143,0,20,0,20
144,0,20,0,20
145,0,20,0,20
146,0,20,0,20
147,0,20,0,20
148,1,20,0,20
149,1,20,0,20
150,1,20,0,20
151,1,20,0,20
152,0,20,0,20
153,1,20,0,20
154,1,20,0,20
155,1,20,0,20
156,1,20,0,20
157,1,20,0,20
158,0,20,0,20
159,1,20,0,20
160,0,20,0,20
161,1,20,0,20
162,1,20,0,20
163,0,20,0,20
164,1,20,0,20
165,1,20,0,20
166,1,20,0,20
167,1,20,0,20
168,1,20,0,20
169,1,20,0,20
170,1,20,0,20
171,1,20,0,20
172,1,20,0,20
173,1,20,0,20
174,1,20,0,20
175,1,20,0,20
176,1,20,0,20
177,0,20,0,20
178,0,20,0,20
179,1,20,0,20
180,1,20,0,20
181,1,20,0,20
182,1,20,0,20
183,1,20,0,20
184,0,20,0,20
185,0,20,0,20
186,0,20,0,20
187,0,20,0,20
188,0,20,0,20
189,0,20,0,20
190,0,20,0,20
191,0,20,0,20
192,0,20,0,20
193,0,20,0,20
194,0,20,0,20
195,0,20,0,20
196,0,20,0,20
197,0,20,0,20
198,0,20,0,20
199,0,20,0,20
200,1,20,0,20
201,0,20,0,20
202,1,20,0,20
203,1,20,0,20
204,1,20,0,20
205,1,20,0,20
206,1,20,0,20
207,0,20,0,20
208,1,20,0,20
209,1,20,0,20
210,1,20,0,20
211,1,20,0,20
212,1,20,0,20
213,1,20,0,20
214,1,20,0,20
215,1,20,0,20
216,1,20,0,20
217,1,20,0,20
218,1,20,0,20
219,1,20,0,20
220,0,20,0,20
221,1,20,0,20
222,1,20,0,20
223,1,20,0,20
224,1,20,0,20
225,1,20,0,20
226,1,20,0,20
227,1,20,0,20
228,1,20,0,20
229,1,20,0,20
230,1,20,0,20
231,1,20,0,20
232,1,20,0,20
233,1,20,0,20
234,1,20,0,20
235,0,20,0,20
236,0,20,0,20
237,0,20,0,20
238,0,20,0,20
239,0,20,0,20
240,0,20,0,20
241,0,20,0,20
242,0,20,0,20
243,0,20,0,20
244,0,20,0,20
245,1,20,0,20
246,1,20,0,20
247,1,20,0,20
248,1,20,0,20
249,1,20,0,20
250,1,20,0,20
251,1,20,0,20
252,1,20,0,20
253,0,20,0,20
254,0,20,0,20
255,0,20,0,20
256,0,20,0,20
257,0,20,0,20
258,0,20,0,20
259,0,20,0,20
260,0,20,0,20
261,0,20,0,20
262,0,20,0,20
263,0,20,0,20
264,0,20,0,20
265,1,20,0,20
266,1,20,0,20
267,1,20,0,20
268,0,20,0,20
269,0,20,0,20
270,1,20,0,20
271,0,20,0,20
272,0,20,0,20
273,0,20,0,20
274,0,20,0,20
275,0,20,0,20
276,0,20,0,20
277,0,20,0,20
278,0,20,0,20
279,0,20,0,20
280,0,20,0,20
281,0,20,0,20
282,0,20,0,20
283,0,20,0,20
284,0,20,0,20
285,0,20,0,20
286,0,20,0,20
287,0,20,0,20
288,0,20,0,20
289,0,20,0,20
290,0,20,0,20
291,0,20,0,20
292,0,20,0,20
293,0,20,0,20
294,0,20,0,20
295,0,20,0,20
296,0,20,0,20
297,0,20,0,20
298,0,20,0,20
299,0,20,0,20
300,0,20,0,20
301,0,20,0,20
302,0,20,0,20
303,0,20,0,20
304,0,20,0,20
305,0,20,0,20
306,0,20,0,20
307,0,20,0,20
308,0,20,0,20
309,0,20,0,20
310,0,20,0,20
311,0,20,0,20
312,0,20,0,20
313,0,20,0,20
314,0,20,0,20
315,0,20,0,20
316,0,20,0,20
317,0,20,0,20
318,0,20,0,20
319,0,20,0,20
320,0,20,0,20
321,0,20,0,20
322,0,20,0,20
323,0,20,0,20
324,0,20,0,20
325,0,20,0,20
326,0,20,0,20
327,0,20,0,20
328,0,20,0,20
329,0,20,0,20
330,0,20,1,20
331,0,20,0,20
332,0,20,0,20
333,0,20,0,20
334,0,20,0,20
335,0,20,1,20
336,1,20,0,20
337,1,20,0,20
338,1,20,0,20
339,1,20,0,20
340,1,20,0,20
341,1,20,0,20
342,1,20,0,20
343,1,20,0,20
344,1,20,0,20
345,1,20,0,20
346,1,20,0,20
347,1,20,0,20
348,1,20,0,20
349,0,20,0,20
350,1,20,0,20
351,1,20,0,20
352,1,20,0,20
353,0,20,0,20
354,0,20,0,20
355,0,20,0,20
356,0,20,0,20
357,0,20,0,20
358,0,20,0,20
359,0,20,0,20
360,0,20,0,20
361,0,20,0,20
362,0,20,0,20
363,0,20,0,20
364,0,20,0,20
365,0,20,0,20
366,0,20,0,20
367,0,20,0,20
368,0,20,0,20
369,0,20,0,20
370,0,20,0,20
371,0,20,0,20
372,0,20,0,20
373,0,20,0,20
374,0,20,0,20
375,0,20,0,20
376,0,20,0,20
377,0,20,0,20
378,0,20,0,20
379,0,20,0,20
380,0,20,0,20
381,0,20,0,20
382,0,20,0,20
383,0,20,0,20
384,0,20,0,20
385,0,20,0,20
386,0,20,0,20
387,0,20,0,20
388,0,20,0,20
389,0,20,0,20
390,0,20,0,20
391,0,20,0,20
392,0,20,0,20
393,0,20,0,20
394,0,20,0,20
395,0,20,0,20
396,1,20,0,20
397,1,20,0,20
398,1,20,0,20
399,0,20,0,20
400,0,20,0,20
401,0,20,0,20
402,0,20,0,20
403,0,20,0,20
404,0,20,0,20
405,0,20,0,20
406,0,20,0,20
407,0,20,0,20
408,0,20,0,20
409,0,20,0,20
410,0,20,0,20
411,0,20,0,20
412,0,20,0,20
413,0,20,0,20
414,0,20,0,20
415,0,20,0,20
416,0,20,0,20
417,0,20,0,20
418,0,20,0,20
419,0,20,0,20
420,0,20,0,20
421,0,20,0,20
422,0,20,0,20
423,0,20,0,20
424,0,20,0,20
425,0,20,0,20
426,0,20,0,20
427,0,20,0,20
428,0,20,0,20
429,0,20,0,20
430,0,20,0,20
431,0,20,0,20
432,0,20,0,20
433,1,20,0,20
434,0,20,0,20
435,1,20,0,20
436,1,20,0,20
437,1,20,0,20
438,1,20,0,20
439,0,20,0,20
440,0,20,0,20
441,0,20,0,20
442,0,20,0,20
443,0,20,0,20
444,0,20,0,20
445,0,20,0,20
446,0,20,0,20
447,0,20,0,20
448,0,20,0,20
449,1,20,0,20
450,0,20,0,20
451,0,20,0,20
452,0,20,0,20
453,0,20,0,20
454,0,20,0,20
455,0,20,0,20
456,0,20,0,20
457,0,20,0,20
458,0,20,0,20
459,0,20,0,20
460,1,20,0,20
461,1,20,0,20
462,1,20,0,20
463,1,20,0,20
464,1,20,0,20
465,1,20,0,20
466,1,20,0,20
467,1,20,0,20
468,1,20,0,20
469,1,20,0,20
470,1,20,0,20
471,1,20,0,20
472,1,20,0,20
473,1,20,0,20
474,1,20,0,20
475,1,20,0,20
476,1,20,0,20
477,1,20,0,20
478,0,20,0,20
479,1,20,0,20
480,1,20,0,20
481,1,20,0,20
482,1,20,0,20
483,1,20,0,20
484,0,20,0,20
485,1,20,0,20
486,1,20,0,20
487,1,20,0,20
488,1,20,0,20
489,1,20,0,20
490,1,20,0,20
491,0,20,0,20
492,0,20,0,20
493,1,20,0,20
494,0,20,0,20
495,0,20,0,20
496,0,20,0,20
497,0,20,0,20
498,0,20,0,20
499,0,20,0,20
500,0,20,0,20
501,0,20,0,20
502,0,20,0,20
503,0,20,0,20
504,0,20,0,20
505,0,20,0,20
506,0,20,0,20
507,0,20,0,20
508,0,20,0,20
509,0,20,0,20
510,1,20,0,20
511,1,20,0,20
512,1,20,0,20
513,0,20,0,20
514,0,20,0,20
515,0,20,0,20
516,0,20,0,20
517,0,20,0,20
518,0,20,0,20
519,0,20,0,20
520,0,20,0,20
521,0,20,0,20
522,0,20,0,20
523,0,20,0,20
524,0,20,0,20
525,0,20,0,20
526,0,20,0,20
527,0,20,0,20
528,0,20,0,20
529,0,20,0,20
530,0,20,0,20
531,0,20,0,20
532,0,20,0,20
533,0,20,0,20
534,0,20,0,20
535,0,20,0,20
536,0,20,0,20
537,0,20,0,20
538,0,20,0,20
539,0,20,0,20
540,0,20,0,20
541,0,20,0,20
542,0,20,0,20
543,0,20,0,20
544,0,20,0,20
545,0,20,0,20
546,0,20,0,20
547,1,20,0,20
548,1,20,0,20
549,1,20,0,20
550,1,20,0,20
551,0,20,0,20
552,0,20,0,20
553,0,20,0,20
554,0,20,0,20
555,0,20,0,20
556,0,20,0,20
557,0,20,0,20
558,0,20,0,20
559,0,20,0,20
560,0,20,1,20
561,0,20,0,20
562,0,20,0,20
563,0,20,0,20
564,0,20,0,20
565,0,20,0,20
566,0,20,0,20
567,0,20,0,20
568,0,20,0,20
569,0,20,0,20
570,0,20,0,20
