time_ms,action,a,b,c
0,STATE,0,0,
134,STATE,1,0,
225,STATE,2,0,
395,STATE,3,0,
475,STATE,0,1,
645,STATE,1,1,
799,STATE,2,1,
834,STATE,3,1,
1043,STATE,0,2,
1136,STATE,1,2,
1262,STATE,2,2,
1329,STATE,3,2,
1548,STATE,0,3,
1655,STATE,1,3,
1757,STATE,2,3,
1888,STATE,3,3,
1979,STATE,0,4,
2091,STATE,1,4,
2215,STATE,2,4,
2332,STATE,3,4,
2500,STATE,0,5,
2603,STATE,1,5,
2711,STATE,2,5,
2875,STATE,3,5,
2992,STATE,0,6,
3094,STATE,1,6,
3224,STATE,2,6,
3424,STATE,3,6,
3450,STATE,0,7,
3597,STATE,1,7,
3774,STATE,2,7,
3852,STATE,3,7,
4041,STATE,0,8,
4141,STATE,1,8,
4231,STATE,2,8,
4373,STATE,3,8,
4466,STATE,0,9,
4469,RAISE,10,1000,10000
4598,STATE,1,9,
4775,STATE,2,9,
4903,STATE,3,9,
4952,STATE,0,10,
5080,STATE,1,10,
5211,STATE,2,10,
5424,STATE,3,10,
5471,STATE,0,11,
5643,STATE,1,11,
5778,STATE,2,11,
5865,CLEAR,10,1000,10000
5903,STATE,3,11,
5950,RAISE,8,1000,10000
5963,STATE,0,12,
6123,STATE,1,12,
6283,STATE,2,12,
6381,STATE,3,12,
6468,STATE,0,13,
6579,STATE,1,13,
6739,STATE,2,13,
6860,STATE,3,13,
6965,STATE,0,14,
7093,STATE,1,14,
7213,STATE,2,14,
7312,CLEAR,8,1000,10000
7334,STATE,3,14,
7459,STATE,0,15,
7634,STATE,1,15,
7772,STATE,2,15,
7890,STATE,3,15,
8033,STATE,0,16,
8095,STATE,1,16,
8221,STATE,2,16,
8342,STATE,3,16,
8546,STATE,0,17,
8602,STATE,1,17,
8781,STATE,2,17,
8889,STATE,3,17,
8992,STATE,0,18,
9154,STATE,1,18,
9209,STATE,2,18,
9370,STATE,3,18,
9497,STATE,0,19,
9631,STATE,1,19,
9783,STATE,2,19,
9830,STATE,3,19,
9960,RAISE,1,1000,10000
10032,STATE,0,20,
10085,STATE,1,20,
10201,STATE,2,20,
10354,CLEAR,1,1000,10000
10424,STATE,3,20,
10457,STATE,0,21,
10582,STATE,1,21,
10753,STATE,2,21,
10899,STATE,3,21,
10975,STATE,0,22,
11094,STATE,1,22,
11252,RAISE,3,1000,10000
11288,STATE,2,22,
11345,STATE,3,22,
11524,STATE,0,23,
11584,STATE,1,23,
11727,STATE,2,23,
11883,STATE,3,23,
11982,STATE,0,24,
12076,STATE,1,24,
12220,STATE,2,24,
12326,STATE,3,24,
12418,CLEAR,3,1000,10000
12500,STATE,0,25,
12591,STATE,1,25,
12749,STATE,2,25,
12847,STATE,3,25,
12991,STATE,0,26,
13164,STATE,1,26,
13189,RAISE,9,1000,10000
13242,STATE,2,26,
13396,STATE,3,26,
13529,STATE,0,27,
13606,STATE,1,27,
13716,CLEAR,9,1000,10000
13769,STATE,2,27,
13859,STATE,3,27,
13971,STATE,0,28,
14090,STATE,1,28,
14222,STATE,2,28,
14379,STATE,3,28,
14530,STATE,0,29,
14584,STATE,1,29,
14730,STATE,2,29,
14828,STATE,3,29,
14988,STATE,0,30,
15135,STATE,1,30,
15210,STATE,2,30,
15358,STATE,3,30,
15445,RAISE,4,1000,10000
15502,STATE,0,31,
15654,STATE,1,31,
15723,STATE,2,31,
15869,STATE,3,31,
15955,STATE,0,32,
16146,STATE,1,32,
16227,STATE,2,32,
16392,STATE,3,32,
16509,STATE,0,33,
16520,CLEAR,4,1000,10000
16666,STATE,1,33,
16729,STATE,2,33,
16883,STATE,3,33,
17007,STATE,0,34,
17128,STATE,1,34,
17231,STATE,2,34,
17329,STATE,3,34,
17518,STATE,0,35,
17655,STATE,1,35,
17775,STATE,2,35,
17914,STATE,3,35,
17981,STATE,0,36,
18145,STATE,1,36,
18288,STATE,2,36,
18347,STATE,3,36,
18483,STATE,0,37,
18636,STATE,1,37,
18710,STATE,2,37,
18846,STATE,3,37,
18973,STATE,0,38,
19143,STATE,1,38,
19293,STATE,2,38,
19346,STATE,3,38,
19522,STATE,0,39,
19599,STATE,1,39,
19725,STATE,2,39,
19887,STATE,3,39,
19955,STATE,0,40,
20167,STATE,1,40,
20280,STATE,2,40,
20340,STATE,3,40,
20462,STATE,0,41,
20630,STATE,1,41,
20706,STATE,2,41,
20864,STATE,3,41,
20954,STATE,0,42,
21114,STATE,1,42,
21249,STATE,2,42,
21260,RAISE,7,1000,10000
21418,STATE,3,42,
21526,STATE,0,43,
21578,STATE,1,43,
21764,STATE,2,43,
21912,STATE,3,43,
21938,CLEAR,7,1000,10000
22050,STATE,0,44,
22172,STATE,1,44,
22290,STATE,2,44,
22332,STATE,3,44,
22465,STATE,0,45,
22663,STATE,1,45,
22729,STATE,2,45,
22911,STATE,3,45,
22970,STATE,0,46,
22996,RAISE,6,1000,10000
23078,STATE,1,46,
23265,STATE,2,46,
23364,STATE,3,46,
23482,STATE,0,47,
23620,CLEAR,6,1000,10000
23667,STATE,1,47,
23767,STATE,2,47,
23826,STATE,3,47,
24021,STATE,0,48,
24137,STATE,1,48,
24230,STATE,2,48,
24333,STATE,3,48,
24432,RAISE,5,1000,10000
24503,STATE,0,49,
24641,STATE,1,49,
24761,STATE,2,49,
24881,STATE,3,49,
24993,STATE,0,50,
25155,STATE,1,50,
25225,STATE,2,50,
25367,STATE,3,50,
25459,STATE,0,51,
25641,STATE,1,51,
25656,CLEAR,5,1000,10000
25727,RAISE,2,1000,10000
25790,STATE,2,51,
25840,STATE,3,51,
25994,STATE,0,52,
26166,STATE,1,52,
26262,STATE,2,52,
26356,STATE,3,52,
26529,STATE,0,53,
26588,CLEAR,2,1000,10000
26668,STATE,1,53,
26701,STATE,2,53,
26894,STATE,3,53,
27019,STATE,0,54,
27077,STATE,1,54,
27209,STATE,2,54,
27387,STATE,3,54,
27475,STATE,0,55,
27649,STATE,1,55,
27737,STATE,2,55,
27838,STATE,3,55,
27962,STATE,0,56,
28175,STATE,1,56,
28272,STATE,2,56,
28372,STATE,3,56,
28455,STATE,0,57,
28578,STATE,1,57,
28711,STATE,2,57,
28855,STATE,3,57,
29042,STATE,0,58,
29107,STATE,1,58,
29250,STATE,2,58,
29413,STATE,3,58,
29535,STATE,0,59,
29577,STATE,1,59,
29728,STATE,2,59,
29833,STATE,3,59,
