slot,data_lost,data_delay_ms,ack_lost,ack_delay_ms
0,0,20,0,20
1,0,20,0,20
2,0,20,0,20
3,0,20,0,20
4,0,20,0,20
5,0,20,0,20
6,0,20,0,20
7,0,20,0,20
8,0,20,0,20
9,0,20,0,20
10,0,20,0,20
11,0,20,0,20
12,0,20,0,20
13,0,20,0,20
14,0,20,0,20
15,0,20,0,20
16,0,20,0,20
17,1,20,0,20
18,0,20,0,20
19,0,20,0,20
20,1,20,0,20
21,0,20,0,20
22,0,20,0,20
23,0,20,0,20
24,0,20,0,20
25,0,20,0,20
26,0,20,0,20
27,0,20,0,20
28,0,20,0,20
29,1,20,0,20
30,0,20,0,20
31,0,20,0,20
32,0,20,0,20
33,0,20,0,20
34,0,20,0,20
35,0,20,0,20
36,0,20,0,20
37,0,20,0,20
38,0,20,0,20
39,0,20,0,20
40,0,20,0,20
41,0,20,0,20
42,0,20,0,20
43,0,20,0,20
44,0,20,0,20
45,0,20,0,20
46,0,20,0,20
47,0,20,0,20
48,0,20,0,20
49,0,20,0,20
50,0,20,0,20
51,0,20,0,20
52,0,20,0,20
53,0,20,0,20
54,0,20,0,20
55,0,20,0,20
56,0,20,0,20
57,0,20,0,20
58,0,20,0,20
59,0,20,0,20
60,0,20,0,20
61,0,20,0,20
62,0,20,0,20
63,0,20,0,20
64,0,20,0,20
65,0,20,0,20
66,0,20,0,20
67,0,20,0,20
68,0,20,0,20
69,0,20,0,20
70,0,20,0,20
71,0,20,0,20
72,0,20,0,20
73,0,20,0,20
74,0,20,0,20
75,0,20,0,20
76,0,20,0,20
77,0,20,0,20
78,0,20,0,20
79,0,20,0,20
80,0,20,0,20
81,0,20,0,20
82,0,20,0,20
83,0,20,0,20
84,0,20,0,20
85,0,20,0,20
86,0,20,0,20
87,0,20,0,20
88,0,20,0,20
89,0,20,0,20
90,0,20,0,20
91,0,20,0,20
92,0,20,0,20
93,0,20,0,20
94,0,20,0,20
95,0,20,0,20
96,0,20,0,20
97,0,20,0,20
98,0,20,0,20
99,0,20,0,20
100,0,20,0,20
101,0,20,0,20
102,0,20,0,20
103,0,20,0,20
104,0,20,0,20
105,0,20,0,20
106,0,20,0,20
107,0,20,0,20
108,0,20,0,20
109,0,20,0,20
110,0,20,0,20
111,0,20,0,20
112,0,20,0,20
113,0,20,0,20
114,0,20,0,20
115,0,20,0,20
116,0,20,0,20
117,0,20,0,20
118,0,20,0,20
119,0,20,0,20
120,0,20,0,20
121,0,20,0,20
122,0,20,0,20
123,0,20,0,20
124,0,20,0,20
125,0,20,0,20
126,0,20,0,20
127,0,20,0,20
128,0,20,0,20
129,0,20,0,20
130,0,20,0,20
131,0,20,1,20
132,0,20,0,20
133,0,20,0,20
134,0,20,0,20
135,0,20,0,20
136,0,20,0,20
137,0,20,0,20
138,0,20,0,20
139,0,20,0,20
140,0,20,0,20
141,0,20,0,20
142,0,20,0,20
143,0,20,0,20
144,0,20,0,20
145,0,20,0,20
146,0,20,0,20
147,0,20,0,20
148,0,20,0,20
149,0,20,0,20
150,0,20,0,20
151,0,20,0,20
152,0,20,0,20
153,0,20,0,20
154,0,20,0,20
155,0,20,0,20
156,0,20,0,20
157,0,20,0,20
158,0,20,0,20
159,0,20,0,20
160,0,20,0,20
161,0,20,0,20
162,0,20,0,20
163,0,20,0,20
164,0,20,0,20
165,0,20,0,20
166,0,20,0,20
167,0,20,0,20
168,0,20,0,20
169,0,20,0,20
170,0,20,0,20
171,0,20,0,20
172,0,20,0,20
173,0,20,0,20
174,1,20,0,20
175,0,20,0,20
176,0,20,0,20
177,0,20,0,20
178,0,20,0,20
179,0,20,0,20
180,0,20,0,20
181,0,20,0,20
182,0,20,0,20
183,0,20,0,20
184,0,20,0,20
185,0,20,0,20
186,0,20,0,20
187,0,20,0,20
188,0,20,0,20
189,0,20,0,20
190,0,20,0,20
191,0,20,0,20
192,0,20,0,20
193,0,20,0,20
194,0,20,0,20
195,0,20,0,20
196,0,20,0,20
197,0,20,0,20
198,0,20,0,20
199,0,20,0,20
200,0,20,0,20
201,0,20,0,20
202,0,20,0,20
203,0,20,0,20
204,0,20,0,20
205,0,20,0,20
206,0,20,0,20
207,0,20,0,20
208,0,20,0,20
209,0,20,0,20
210,0,20,0,20
211,0,20,0,20
212,0,20,0,20
213,0,20,0,20
214,0,20,0,20
215,0,20,0,20
216,0,20,0,20
217,0,20,0,20
218,0,20,0,20
219,0,20,0,20
220,0,20,0,20
221,0,20,0,20
222,0,20,0,20
223,0,20,0,20
224,0,20,0,20
225,0,20,0,20
226,0,20,0,20
227,0,20,0,20
228,0,20,0,20
229,0,20,0,20
230,0,20,0,20
231,0,20,0,20
232,0,20,0,20
233,0,20,0,20
234,0,20,0,20
235,0,20,0,20
236,0,20,0,20
237,0,20,0,20
238,0,20,0,20
239,0,20,0,20
240,0,20,0,20
241,0,20,0,20
242,0,20,0,20
243,0,20,0,20
244,0,20,0,20
245,0,20,0,20
246,0,20,0,20
247,0,20,0,20
248,0,20,0,20
249,0,20,0,20
250,0,20,0,20
251,0,20,0,20
252,0,20,0,20
253,0,20,0,20
254,0,20,0,20
255,0,20,0,20
256,0,20,0,20
257,0,20,0,20
258,0,20,0,20
259,0,20,0,20
260,0,20,0,20
261,0,20,0,20
262,0,20,0,20
263,0,20,0,20
264,0,20,0,20
265,0,20,0,20
266,0,20,0,20
267,0,20,0,20
268,0,20,0,20
269,0,20,0,20
270,0,20,0,20
271,0,20,0,20
272,0,20,0,20
273,0,20,0,20
274,0,20,0,20
275,0,20,0,20
276,1,20,0,20
277,0,20,0,20
278,0,20,0,20
279,0,20,0,20
280,0,20,0,20
281,0,20,0,20
282,0,20,0,20
283,0,20,0,20
284,0,20,0,20
285,0,20,0,20
286,0,20,0,20
287,0,20,0,20
288,0,20,0,20
289,0,20,0,20
290,0,20,0,20
291,0,20,0,20
292,0,20,0,20
293,0,20,0,20
294,0,20,0,20
295,0,20,0,20
296,0,20,0,20
297,0,20,0,20
298,0,20,0,20
299,0,20,0,20
300,0,20,0,20
301,0,20,0,20
302,0,20,0,20
303,0,20,0,20
304,0,20,0,20
305,0,20,0,20
306,0,20,0,20
307,0,20,0,20
308,0,20,0,20
309,0,20,0,20
310,0,20,0,20
311,0,20,0,20
312,0,20,0,20
313,0,20,0,20
314,0,20,0,20
315,0,20,0,20
316,0,20,0,20
317,0,20,0,20
318,0,20,0,20
319,0,20,0,20
320,0,20,0,20
321,0,20,0,20
322,0,20,0,20
323,1,20,0,20
324,0,20,0,20
325,0,20,0,20
326,0,20,0,20
327,0,20,0,20
328,0,20,0,20
329,0,20,0,20
330,0,20,0,20
331,0,20,0,20
332,0,20,0,20
333,0,20,0,20
334,0,20,0,20
335,0,20,0,20
336,0,20,0,20
337,0,20,0,20
338,0,20,0,20
339,0,20,0,20
340,0,20,0,20
341,0,20,0,20
342,0,20,0,20
343,0,20,0,20
344,0,20,0,20
345,0,20,0,20
346,0,20,0,20
347,0,20,0,20
348,0,20,0,20
349,0,20,0,20
350,0,20,0,20
351,0,20,0,20
352,0,20,0,20
353,0,20,0,20
354,0,20,0,20
355,0,20,0,20
356,0,20,0,20
357,0,20,0,20
358,0,20,0,20
359,0,20,0,20
360,0,20,0,20
361,0,20,0,20
362,0,20,0,20
363,0,20,0,20
364,0,20,0,20
365,0,20,0,20
366,0,20,0,20
367,0,20,0,20
368,0,20,0,20
369,0,20,0,20
370,0,20,0,20
371,0,20,0,20
372,0,20,0,20
373,0,20,0,20
374,0,20,0,20
375,0,20,1,20
376,0,20,0,20
377,0,20,0,20
378,0,20,0,20
379,0,20,0,20
380,0,20,0,20
381,0,20,0,20
382,0,20,0,20
383,0,20,0,20
384,0,20,0,20
385,0,20,0,20
386,0,20,0,20
387,0,20,0,20
388,0,20,0,20
389,0,20,0,20
390,0,20,0,20
391,0,20,0,20
392,0,20,0,20
393,0,20,0,20
394,0,20,0,20
395,0,20,0,20
396,0,20,0,20
397,0,20,0,20
398,0,20,0,20
399,0,20,0,20
400,0,20,0,20
401,0,20,0,20
402,0,20,0,20
403,0,20,1,20
404,0,20,0,20
405,0,20,0,20
406,0,20,0,20
407,0,20,0,20
408,0,20,0,20
409,0,20,0,20
410,0,20,0,20
411,0,20,0,20
412,0,20,0,20
413,0,20,0,20
414,0,20,0,20
415,0,20,0,20
416,0,20,0,20
417,0,20,0,20
418,0,20,0,20
419,0,20,0,20
420,0,20,0,20
421,0,20,0,20
422,0,20,0,20
423,0,20,0,20
424,0,20,0,20
425,0,20,0,20
426,0,20,0,20
427,0,20,0,20
428,0,20,0,20
429,0,20,0,20
430,0,20,0,20
431,0,20,0,20
432,0,20,0,20
433,0,20,0,20
434,0,20,0,20
435,0,20,0,20
436,0,20,0,20
437,0,20,0,20
438,0,20,0,20
439,0,20,0,20
440,0,20,0,20
441,0,20,0,20
442,0,20,0,20
443,0,20,0,20
444,0,20,0,20
445,0,20,0,20
446,0,20,0,20
447,0,20,0,20
448,0,20,0,20
449,0,20,0,20
450,0,20,0,20
451,0,20,0,20
452,0,20,0,20
453,0,20,0,20
454,0,20,0,20
455,0,20,0,20
456,0,20,0,20
457,0,20,0,20
458,0,20,0,20
459,0,20,0,20
460,0,20,0,20
461,0,20,0,20
462,0,20,0,20
463,0,20,0,20
464,0,20,0,20
465,0,20,0,20
466,0,20,0,20
467,0,20,0,20
468,0,20,0,20
469,0,20,0,20
470,0,20,0,20
471,0,20,0,20
472,0,20,0,20
473,0,20,0,20
474,0,20,0,20
475,0,20,0,20
476,0,20,0,20
477,0,20,0,20
478,0,20,0,20
479,0,20,0,20
480,0,20,0,20
481,0,20,0,20
482,0,20,0,20
483,0,20,0,20
484,0,20,0,20
485,0,20,0,20
486,0,20,0,20
487,0,20,0,20
488,0,20,0,20
489,0,20,0,20
490,0,20,0,20
491,0,20,0,20
492,0,20,0,20
493,0,20,0,20
494,0,20,0,20
495,0,20,0,20
496,0,20,0,20
497,0,20,0,20
498,0,20,0,20
499,0,20,0,20
500,1,20,1,20
501,1,20,1,20
502,1,20,1,20
503,1,20,1,20
504,1,20,1,20
505,1,20,1,20
506,1,20,1,20
507,1,20,1,20
508,1,20,1,20
509,1,20,1,20
510,1,20,1,20
511,1,20,1,20
512,1,20,1,20
513,1,20,1,20
514,1,20,1,20
515,1,20,1,20
516,1,20,1,20
517,1,20,1,20
518,1,20,1,20
519,1,20,1,20
520,1,20,1,20
521,1,20,1,20
522,1,20,1,20
523,1,20,1,20
524,1,20,1,20
525,1,20,1,20
526,1,20,1,20
527,1,20,1,20
528,1,20,1,20
529,1,20,1,20
530,1,20,1,20
531,1,20,1,20
532,1,20,1,20
533,1,20,1,20
534,1,20,1,20
535,1,20,1,20
536,1,20,1,20
537,1,20,1,20
538,1,20,1,20
539,1,20,1,20
540,1,20,1,20
541,1,20,1,20
542,1,20,1,20
543,1,20,1,20
544,1,20,1,20
545,1,20,1,20
546,1,20,1,20
547,1,20,1,20
548,1,20,1,20
549,1,20,1,20
550,1,20,1,20
551,1,20,1,20
552,1,20,1,20
553,1,20,1,20
554,1,20,1,20
555,1,20,1,20
556,1,20,1,20
557,1,20,1,20
558,1,20,1,20
559,1,20,1,20
560,1,20,1,20
561,1,20,1,20
562,1,20,1,20
563,1,20,1,20
564,1,20,1,20
565,1,20,1,20
566,1,20,1,20
567,1,20,1,20
568,1,20,1,20
569,1,20,1,20
570,1,20,1,20
