time_ms,action,a,b,c
41,STATE,0,0,
142,STATE,1,0,
219,STATE,2,0,
394,STATE,3,0,
508,STATE,0,1,
633,STATE,1,1,
774,STATE,2,1,
865,STATE,3,1,
1042,STATE,0,2,
1142,STATE,1,2,
1210,STATE,2,2,
1378,STATE,3,2,
1539,STATE,0,3,
1599,STATE,1,3,
1782,STATE,2,3,
1857,STATE,3,3,
2044,STATE,0,4,
2165,STATE,1,4,
2285,STATE,2,4,
2359,STATE,3,4,
2477,STATE,0,5,
2642,STATE,1,5,
2748,STATE,2,5,
2891,STATE,3,5,
3038,STATE,0,6,
3112,STATE,1,6,
3203,STATE,2,6,
3329,STATE,3,6,
3459,STATE,0,7,
3580,STATE,1,7,
3761,STATE,2,7,
3876,STATE,3,7,
4027,STATE,0,8,
4136,STATE,1,8,
4258,STATE,2,8,
4401,STATE,3,8,
4544,STATE,0,9,
4593,STATE,1,9,
4742,STATE,2,9,
4882,STATE,3,9,
4965,STATE,0,10,
5091,STATE,1,10,
5100,RAISE,1,2000,8000
5200,RAISE,2,2000,8000
5211,STATE,2,10,
5300,RAISE,3,2000,8000
5367,STATE,3,10,
5400,RAISE,4,2000,8000
5500,RAISE,5,2000,8000
5533,STATE,0,11,
5600,RAISE,6,2000,8000
5628,STATE,1,11,
5700,RAISE,7,2000,8000
5770,STATE,2,11,
5800,RAISE,8,2000,8000
5878,STATE,3,11,
5900,RAISE,9,2000,8000
5998,STATE,0,12,
6000,RAISE,10,2000,8000
6100,RAISE,11,2000,8000
6140,STATE,1,12,
6200,RAISE,12,2000,8000
6218,STATE,2,12,
6300,RAISE,13,2000,8000
6343,STATE,3,12,
6400,RAISE,14,2000,8000
6500,RAISE,15,2000,8000
6509,STATE,0,13,
6600,RAISE,16,2000,8000
6607,STATE,1,13,
6700,RAISE,17,2000,8000
6786,STATE,2,13,
6800,RAISE,18,2000,8000
6842,STATE,3,13,
6900,RAISE,19,2000,8000
6993,STATE,0,14,
7000,RAISE,20,2000,8000
7087,STATE,1,14,
7204,STATE,2,14,
7383,STATE,3,14,
7536,STATE,0,15,
7636,STATE,1,15,
7741,STATE,2,15,
7924,STATE,3,15,
7965,STATE,0,16,
8119,STATE,1,16,
8235,STATE,2,16,
8381,STATE,3,16,
8512,STATE,0,17,
8587,STATE,1,17,
8787,STATE,2,17,
8912,STATE,3,17,
8960,STATE,0,18,
9159,STATE,1,18,
9282,STATE,2,18,
9397,STATE,3,18,
9466,STATE,0,19,
9664,STATE,1,19,
9729,STATE,2,19,
9894,STATE,3,19,
9978,STATE,0,20,
10086,STATE,1,20,
10268,STATE,2,20,
10409,STATE,3,20,
10524,STATE,0,21,
10614,STATE,1,21,
10712,STATE,2,21,
10922,STATE,3,21,
10953,STATE,0,22,
11137,STATE,1,22,
11258,STATE,2,22,
