time_ms,action,a,b,c
17,STATE,0,0,
45,STATE,1,0,
132,STATE,2,0,
198,STATE,3,0,
252,STATE,0,1,
320,STATE,1,1,
377,STATE,2,1,
429,STATE,3,1,
517,STATE,0,2,
562,STATE,1,2,
645,STATE,2,2,
673,STATE,3,2,
736,STATE,0,3,
807,STATE,1,3,
892,STATE,2,3,
957,STATE,3,3,
980,STATE,0,4,
1064,STATE,1,4,
1126,STATE,2,4,
1177,STATE,3,4,
1249,STATE,0,5,
1314,STATE,1,5,
1392,STATE,2,5,
1449,STATE,3,5,
1513,STATE,0,6,
1565,STATE,1,6,
1607,STATE,2,6,
1696,STATE,3,6,
1766,STATE,0,7,
1792,STATE,1,7,
1859,STATE,2,7,
1957,STATE,3,7,
2001,STATE,0,8,
2054,STATE,1,8,
2135,STATE,2,8,
2167,STATE,3,8,
2248,STATE,0,9,
2312,STATE,1,9,
2355,STATE,2,9,
2454,STATE,3,9,
2490,STATE,0,10,
2566,STATE,1,10,
2635,STATE,2,10,
2691,STATE,3,10,
2752,STATE,0,11,
2813,STATE,1,11,
2879,STATE,2,11,
2952,STATE,3,11,
2990,STATE,0,12,
3048,STATE,1,12,
3135,STATE,2,12,
3177,STATE,3,12,
3239,STATE,0,13,
3306,STATE,1,13,
3363,STATE,2,13,
3427,STATE,3,13,
3486,STATE,0,14,
3557,STATE,1,14,
3633,STATE,2,14,
3699,STATE,3,14,
3755,STATE,0,15,
3808,STATE,1,15,
3866,STATE,2,15,
3951,STATE,3,15,
4002,STATE,0,16,
4047,STATE,1,16,
4122,STATE,2,16,
4207,STATE,3,16,
4240,STATE,0,17,
4309,STATE,1,17,
4375,STATE,2,17,
4434,STATE,3,17,
4507,STATE,0,18,
4546,STATE,1,18,
4632,STATE,2,18,
4672,STATE,3,18,
4769,STATE,0,19,
4805,STATE,1,19,
4867,STATE,2,19,
4952,STATE,3,19,
5000,RAISE,1,200,1000
5004,STATE,0,20,
5008,RAISE,2,200,1000
5016,RAISE,3,200,1000
5024,RAISE,4,200,1000
5032,RAISE,5,200,1000
5040,RAISE,6,200,1000
5044,STATE,1,20,
5048,RAISE,7,200,1000
5056,RAISE,8,200,1000
5064,RAISE,9,200,1000
5072,RAISE,10,200,1000
5080,RAISE,11,200,1000
5088,RAISE,12,200,1000
5096,RAISE,13,200,1000
5104,RAISE,14,200,1000
5111,STATE,2,20,
5112,RAISE,15,200,1000
5120,RAISE,16,200,1000
5128,RAISE,17,200,1000
5136,RAISE,18,200,1000
5144,RAISE,19,200,1000
5152,RAISE,20,200,1000
5160,RAISE,21,200,1000
5168,RAISE,22,200,1000
5176,RAISE,23,200,1000
5181,STATE,3,20,
5184,RAISE,24,200,1000
5192,RAISE,25,200,1000
5200,RAISE,26,200,1000
5208,RAISE,27,200,1000
5216,RAISE,28,200,1000
5224,RAISE,29,200,1000
5232,RAISE,30,200,1000
5240,RAISE,31,200,1000
5248,RAISE,32,200,1000
5256,RAISE,33,200,1000
5259,STATE,0,21,
5264,RAISE,34,200,1000
5272,RAISE,35,200,1000
5280,RAISE,36,200,1000
5288,RAISE,37,200,1000
5294,STATE,1,21,
5296,RAISE,38,200,1000
5304,RAISE,39,200,1000
5312,RAISE,40,200,1000
5320,RAISE,41,200,1000
5328,RAISE,42,200,1000
5336,RAISE,43,200,1000
5344,RAISE,44,200,1000
5352,RAISE,45,200,1000
5360,RAISE,46,200,1000
5368,RAISE,47,200,1000
5376,RAISE,48,200,1000
5384,RAISE,49,200,1000
5389,STATE,2,21,
5392,RAISE,50,200,1000
5400,RAISE,51,200,1000
5408,RAISE,52,200,1000
5416,RAISE,53,200,1000
5424,RAISE,54,200,1000
5429,STATE,3,21,
5432,RAISE,55,200,1000
5440,RAISE,56,200,1000
5448,RAISE,57,200,1000
5456,RAISE,58,200,1000
5464,RAISE,59,200,1000
5472,RAISE,60,200,1000
5480,RAISE,61,200,1000
5488,RAISE,62,200,1000
5496,RAISE,63,200,1000
5504,RAISE,64,200,1000
5511,STATE,0,22,
5512,RAISE,65,200,1000
5520,RAISE,66,200,1000
5528,RAISE,67,200,1000
5536,RAISE,68,200,1000
5544,RAISE,69,200,1000
5552,RAISE,70,200,1000
5560,RAISE,71,200,1000
5568,RAISE,72,200,1000
5576,RAISE,73,200,1000
5577,STATE,1,22,
5584,RAISE,74,200,1000
5592,RAISE,75,200,1000
5600,RAISE,76,200,1000
5608,RAISE,77,200,1000
5616,RAISE,78,200,1000
5621,STATE,2,22,
5624,RAISE,79,200,1000
5632,RAISE,80,200,1000
5640,RAISE,81,200,1000
5648,RAISE,82,200,1000
5656,RAISE,83,200,1000
5664,RAISE,84,200,1000
5672,RAISE,85,200,1000
5675,STATE,3,22,
5680,RAISE,86,200,1000
5688,RAISE,87,200,1000
5696,RAISE,88,200,1000
5704,RAISE,89,200,1000
5712,RAISE,90,200,1000
5720,RAISE,91,200,1000
5728,RAISE,92,200,1000
5736,RAISE,93,200,1000
5744,STATE,0,23,
5744,RAISE,94,200,1000
5752,RAISE,95,200,1000
5760,RAISE,96,200,1000
5768,RAISE,97,200,1000
5776,RAISE,98,200,1000
5784,RAISE,99,200,1000
5792,RAISE,100,200,1000
5797,STATE,1,23,
5800,RAISE,101,200,1000
5808,RAISE,102,200,1000
5816,RAISE,103,200,1000
5824,RAISE,104,200,1000
5832,RAISE,105,200,1000
5840,RAISE,106,200,1000
5848,RAISE,107,200,1000
5856,RAISE,108,200,1000
5864,RAISE,109,200,1000
5866,STATE,2,23,
5872,RAISE,110,200,1000
5880,RAISE,111,200,1000
5888,RAISE,112,200,1000
5896,RAISE,113,200,1000
5904,RAISE,114,200,1000
5912,RAISE,115,200,1000
5920,RAISE,116,200,1000
5928,RAISE,117,200,1000
5929,STATE,3,23,
5936,RAISE,118,200,1000
5944,RAISE,119,200,1000
5952,RAISE,120,200,1000
5960,RAISE,121,200,1000
5968,RAISE,122,200,1000
5976,RAISE,123,200,1000
5984,RAISE,124,200,1000
5991,STATE,0,24,
5992,RAISE,125,200,1000
6000,RAISE,126,200,1000
6008,RAISE,127,200,1000
6016,RAISE,128,200,1000
6024,RAISE,129,200,1000
6032,RAISE,130,200,1000
6040,RAISE,131,200,1000
6048,RAISE,132,200,1000
6056,RAISE,133,200,1000
6064,STATE,1,24,
6064,RAISE,134,200,1000
6072,RAISE,135,200,1000
6080,RAISE,136,200,1000
6088,RAISE,137,200,1000
6096,RAISE,138,200,1000
6104,RAISE,139,200,1000
6112,RAISE,140,200,1000
6120,RAISE,141,200,1000
6122,STATE,2,24,
