slot,data_lost,data_delay_ms,ack_lost,ack_delay_ms
0,0,20,0,200
1,0,20,0,200
2,0,200,0,20
3,0,20,0,20
4,0,20,0,20
5,0,20,0,200
6,0,200,0,20
7,0,200,0,20
8,0,20,0,200
9,0,20,0,20
10,0,20,0,20
11,0,200,0,20
12,0,20,0,200
13,0,20,1,200
14,0,20,0,20
15,0,20,0,20
16,0,20,0,20
17,0,20,0,20
18,0,20,0,200
19,0,200,0,20
20,0,20,0,20
21,0,20,0,20
22,0,200,0,200
23,0,200,0,200
24,0,20,0,200
25,0,20,0,200
26,0,200,0,20
27,0,20,0,20
28,0,20,0,20
29,0,20,0,20
30,0,200,0,20
31,0,20,0,200
32,0,200,0,20
33,0,200,0,200
34,0,20,0,20
35,0,200,0,20
36,0,20,0,20
37,0,20,0,20
38,0,20,0,20
39,0,200,0,20
40,0,200,0,20
41,0,200,0,200
42,0,20,0,20
43,0,200,0,200
44,0,20,0,200
45,0,200,0,200
46,0,200,0,20
47,0,200,0,20
48,0,20,0,20
49,0,20,0,20
50,0,20,0,20
51,0,20,0,20
52,0,20,0,200
53,0,200,0,20
54,0,20,0,20
55,0,20,0,20
56,0,200,0,200
57,0,20,0,20
58,0,20,0,200
59,0,20,0,20
60,0,200,0,20
61,0,20,0,200
62,0,20,1,20
63,0,20,0,200
64,0,20,0,200
65,0,20,0,200
66,0,200,0,200
67,0,20,0,200
68,0,20,0,200
69,0,20,0,20
70,0,200,0,20
71,0,20,0,200
72,0,20,0,20
73,0,200,0,20
74,0,200,0,200
75,0,200,0,20
76,0,20,0,20
77,0,20,0,20
78,0,200,0,200
79,0,20,0,200
80,0,20,0,20
81,0,20,0,20
82,0,20,0,20
83,0,20,0,20
84,0,20,0,20
85,0,20,0,200
86,0,200,0,20
87,0,20,0,200
88,0,200,0,200
89,0,20,0,200
90,0,20,0,20
91,0,20,0,20
92,0,20,0,20
93,0,20,0,200
94,0,20,0,20
95,0,20,0,20
96,0,20,0,20
97,0,20,0,20
98,0,20,0,20
99,0,200,0,200
100,0,20,0,20
101,0,20,0,20
102,0,20,0,20
103,0,20,0,20
104,0,20,0,200
