time_ms,action,a,b,c
0,STATE,0,0,
66,STATE,1,0,
83,STATE,2,0,
166,STATE,3,0,
192,STATE,0,1,
235,STATE,1,1,
315,STATE,2,1,
347,STATE,3,1,
394,STATE,0,2,
455,STATE,1,2,
512,STATE,2,2,
552,STATE,3,2,
605,STATE,0,3,
644,STATE,1,3,
692,STATE,2,3,
759,STATE,3,3,
801,STATE,0,4,
865,STATE,1,4,
897,STATE,2,4,
948,STATE,3,4,
980,STATE,0,5,
1034,STATE,1,5,
1116,STATE,2,5,
1132,STATE,3,5,
1188,STATE,0,6,
1232,STATE,1,6,
1287,STATE,2,6,
1339,STATE,3,6,
1381,STATE,0,7,
1461,STATE,1,7,
1482,STATE,2,7,
1537,STATE,3,7,
1590,STATE,0,8,
1633,STATE,1,8,
1697,STATE,2,8,
1738,STATE,3,8,
1786,STATE,0,9,
1855,STATE,1,9,
1887,STATE,2,9,
1931,STATE,3,9,
1989,STATE,0,10,
2043,STATE,1,10,
2111,STATE,2,10,
2150,STATE,3,10,
2187,STATE,0,11,
2254,STATE,1,11,
2285,STATE,2,11,
2364,STATE,3,11,
2384,STATE,0,12,
2469,STATE,1,12,
2485,STATE,2,12,
2543,STATE,3,12,
2601,STATE,0,13,
2669,STATE,1,13,
2701,STATE,2,13,
2764,STATE,3,13,
2803,STATE,0,14,
2858,STATE,1,14,
2918,STATE,2,14,
2937,RAISE,4,1000,10000
2968,STATE,3,14,
2983,STATE,0,15,
3047,STATE,1,15,
3106,STATE,2,15,
3134,STATE,3,15,
3192,STATE,0,16,
3234,STATE,1,16,
3317,STATE,2,16,
3354,STATE,3,16,
3417,STATE,0,17,
3462,STATE,1,17,
3489,STATE,2,17,
3553,STATE,3,17,
3596,STATE,0,18,
3638,STATE,1,18,
3693,STATE,2,18,
3757,STATE,3,18,
3805,STATE,0,19,
3862,STATE,1,19,
3900,STATE,2,19,
3952,STATE,3,19,
4000,STATE,0,20,
4052,STATE,1,20,
4103,STATE,2,20,
4130,STATE,3,20,
4140,CLEAR,4,1000,10000
4219,STATE,0,21,
4232,STATE,1,21,
4316,STATE,2,21,
4340,STATE,3,21,
4390,STATE,0,22,
4467,STATE,1,22,
4481,STATE,2,22,
4545,STATE,3,22,
4620,STATE,0,23,
4640,STATE,1,23,
4703,STATE,2,23,
4735,STATE,3,23,
4799,STATE,0,24,
4859,STATE,1,24,
4902,STATE,2,24,
4970,STATE,3,24,
5006,STATE,0,25,
5030,STATE,1,25,
5087,STATE,2,25,
5145,STATE,3,25,
5182,STATE,0,26,
5241,STATE,1,26,
5295,STATE,2,26,
5361,STATE,3,26,
5409,STATE,0,27,
5465,STATE,1,27,
5496,STATE,2,27,
5569,STATE,3,27,
5608,STATE,0,28,
5647,STATE,1,28,
5680,STATE,2,28,
5746,STATE,3,28,
5814,STATE,0,29,
5857,STATE,1,29,
5885,STATE,2,29,
5891,RAISE,6,1000,10000
5943,RAISE,5,1000,10000
