time_ms,action,a,b,c
8,STATE,0,0,
11,STATE,1,0,
20,STATE,2,0,
34,STATE,3,0,
49,STATE,4,0,
71,STATE,5,0,
71,STATE,6,0,
87,STATE,7,0,
101,STATE,0,1,
108,STATE,1,1,
129,STATE,2,1,
133,STATE,3,1,
143,STATE,4,1,
159,STATE,5,1,
181,STATE,6,1,
193,STATE,7,1,
208,STATE,0,2,
222,STATE,1,2,
228,STATE,2,2,
246,STATE,4,2,
247,STATE,3,2,
267,STATE,5,2,
268,STATE,6,2,
280,STATE,7,2,
293,STATE,0,3,
312,STATE,1,3,
328,STATE,2,3,
342,STATE,3,3,
346,STATE,4,3,
354,STATE,5,3,
370,STATE,6,3,
386,STATE,7,3,
390,STATE,0,4,
419,STATE,1,4,
419,STATE,2,4,
430,STATE,3,4,
452,STATE,5,4,
457,STATE,4,4,
467,STATE,6,4,
486,STATE,7,4,
499,STATE,0,5,
520,STATE,1,5,
527,STATE,2,5,
539,STATE,3,5,
558,STATE,4,5,
565,STATE,5,5,
582,STATE,6,5,
585,STATE,7,5,
606,STATE,0,6,
619,STATE,1,6,
620,STATE,2,6,
628,STATE,3,6,
658,STATE,4,6,
670,STATE,5,6,
683,STATE,6,6,
695,STATE,7,6,
708,STATE,0,7,
710,STATE,1,7,
720,STATE,2,7,
730,STATE,3,7,
746,STATE,4,7,
757,STATE,5,7,
781,STATE,6,7,
785,STATE,7,7,
800,STATE,0,8,
813,STATE,1,8,
825,STATE,2,8,
841,STATE,4,8,
842,STATE,3,8,
872,STATE,5,8,
877,STATE,7,8,
884,STATE,6,8,
899,STATE,0,9,
916,STATE,1,9,
924,STATE,2,9,
939,STATE,3,9,
945,STATE,4,9,
956,STATE,5,9,
970,STATE,6,9,
991,STATE,7,9,
995,STATE,0,10,
1007,STATE,1,10,
1029,STATE,3,10,
1031,STATE,2,10,
1053,STATE,5,10,
1055,STATE,4,10,
1076,STATE,6,10,
1085,STATE,7,10,
1101,STATE,0,11,
1114,STATE,1,11,
1120,STATE,2,11,
1137,STATE,3,11,
1145,STATE,4,11,
1153,STATE,5,11,
1168,STATE,6,11,
1179,STATE,7,11,
1190,RAISE,2,400,3000
1195,STATE,0,12,
1215,STATE,1,12,
1228,STATE,2,12,
1228,RAISE,2,400,3000
1245,STATE,3,12,
1251,STATE,4,12,
1258,STATE,5,12,
1284,STATE,6,12,
1292,STATE,7,12,
1294,STATE,0,13,
1317,STATE,1,13,
1329,STATE,2,13,
1343,STATE,4,13,
1345,STATE,3,13,
1363,STATE,5,13,
1365,STATE,6,13,
1379,STATE,7,13,
1393,STATE,0,14,
1413,STATE,1,14,
1430,STATE,3,14,
1431,STATE,2,14,
1449,STATE,4,14,
1460,STATE,5,14,
1465,STATE,6,14,
1479,STATE,7,14,
1502,STATE,0,15,
1512,STATE,1,15,
1526,STATE,2,15,
1537,STATE,3,15,
1540,STATE,4,15,
1566,STATE,6,15,
1567,STATE,5,15,
1588,STATE,7,15,
1601,STATE,0,16,
1621,STATE,1,16,
1623,STATE,2,16,
1644,STATE,3,16,
1657,STATE,4,16,
1667,STATE,5,16,
1676,STATE,6,16,
1678,STATE,7,16,
1695,STATE,0,17,
1715,STATE,2,17,
1720,STATE,1,17,
1729,STATE,3,17,
1752,STATE,5,17,
1760,STATE,4,17,
1774,STATE,6,17,
1795,STATE,7,17,
1803,STATE,0,18,
1808,STATE,1,18,
1827,STATE,2,18,
1841,STATE,4,18,
1842,STATE,3,18,
1871,STATE,5,18,
1874,STATE,6,18,
1880,STATE,7,18,
1909,STATE,0,19,
1913,STATE,1,19,
1921,STATE,2,19,
1940,STATE,3,19,
1953,STATE,5,19,
1960,STATE,4,19,
1968,STATE,6,19,
1989,STATE,7,19,
2002,STATE,0,20,
2011,STATE,1,20,
2027,STATE,2,20,
2041,STATE,4,20,
2042,STATE,3,20,
2066,STATE,6,20,
2069,STATE,5,20,
2084,STATE,7,20,
2104,STATE,0,21,
2105,STATE,1,21,
2115,STATE,2,21,
2139,STATE,3,21,
2142,STATE,4,21,
2166,STATE,5,21,
2167,STATE,6,21,
2197,STATE,7,21,
2205,STATE,0,22,
2217,STATE,1,22,
2226,STATE,2,22,
2227,STATE,3,22,
2243,STATE,4,22,
2259,STATE,5,22,
2273,STATE,6,22,
2290,STATE,7,22,
2297,STATE,0,23,
2312,STATE,1,23,
2317,STATE,2,23,
2338,STATE,3,23,
2345,STATE,4,23,
2356,STATE,5,23,
2373,STATE,6,23,
2393,STATE,7,23,
2395,STATE,0,24,
2416,STATE,1,24,
2432,STATE,2,24,
2446,STATE,3,24,
2453,STATE,4,24,
2463,STATE,5,24,
2483,STATE,6,24,
2492,STATE,7,24,
2509,STATE,0,25,
2519,STATE,2,25,
2522,STATE,1,25,
2546,STATE,3,25,
2548,STATE,4,25,
2560,STATE,5,25,
2575,STATE,6,25,
2583,STATE,7,25,
2599,STATE,0,26,
2614,STATE,1,26,
2618,STATE,2,26,
2627,STATE,3,26,
2641,STATE,4,26,
2665,STATE,5,26,
2676,STATE,6,26,
2684,STATE,7,26,
2706,STATE,0,27,
2720,STATE,1,27,
2728,STATE,2,27,
2729,STATE,3,27,
2753,STATE,4,27,
2760,STATE,5,27,
2767,STATE,6,27,
2785,STATE,7,27,
2798,STATE,0,28,
2807,STATE,1,28,
2828,STATE,3,28,
2831,STATE,2,28,
2850,STATE,4,28,
2861,STATE,5,28,
2867,STATE,6,28,
2890,STATE,7,28,
2891,STATE,0,29,
2907,STATE,1,29,
2921,STATE,2,29,
2941,STATE,3,29,
2947,STATE,4,29,
2955,STATE,5,29,
2966,STATE,6,29,
2997,STATE,7,29,
3000,STATE,0,30,
3006,STATE,1,30,
3021,STATE,2,30,
3046,STATE,3,30,
3060,STATE,4,30,
3062,STATE,5,30,
3075,STATE,6,30,
3086,STATE,7,30,
3109,STATE,0,31,
3112,STATE,1,31,
3124,STATE,2,31,
3135,STATE,3,31,
3152,STATE,5,31,
3153,STATE,4,31,
3178,STATE,7,31,
3184,STATE,6,31,
3193,STATE,0,32,
3206,STATE,1,32,
3210,RAISE,1,400,3000
3219,STATE,2,32,
3244,STATE,3,32,
3254,STATE,4,32,
3257,STATE,5,32,
3274,STATE,6,32,
3293,STATE,7,32,
3301,STATE,0,33,
3314,STATE,1,33,
3335,STATE,2,33,
3347,STATE,3,33,
3356,STATE,4,33,
3361,STATE,5,33,
3368,STATE,6,33,
3386,STATE,7,33,
3395,STATE,0,34,
3412,STATE,1,34,
3416,STATE,2,34,
3429,STATE,3,34,
3445,STATE,4,34,
3469,STATE,6,34,
3471,STATE,5,34,
3491,STATE,7,34,
3502,STATE,0,35,
3505,STATE,1,35,
3523,STATE,2,35,
3538,STATE,3,35,
3556,STATE,5,35,
3558,STATE,4,35,
3571,STATE,6,35,
3587,STATE,7,35,
3605,STATE,1,36,
3607,STATE,0,36,
3624,STATE,2,36,
3642,STATE,3,36,
3644,STATE,4,36,
3666,STATE,6,36,
3667,STATE,5,36,
3677,STATE,7,36,
3700,CLEAR,1,400,3000
3706,STATE,0,37,
3714,STATE,1,37,
3734,STATE,2,37,
3744,STATE,3,37,
3753,STATE,5,37,
3759,STATE,4,37,
3775,STATE,6,37,
3787,STATE,7,37,
3807,STATE,1,38,
3808,STATE,0,38,
3829,STATE,2,38,
3840,STATE,3,38,
3849,STATE,4,38,
3869,STATE,5,38,
3884,STATE,6,38,
3894,STATE,7,38,
3910,STATE,0,39,
3919,STATE,1,39,
3930,STATE,3,39,
3934,STATE,2,39,
3954,STATE,5,39,
3960,STATE,4,39,
3985,STATE,6,39,
3988,STATE,7,39,
4010,STATE,0,40,
4014,STATE,1,40,
4024,STATE,2,40,
4042,STATE,3,40,
4049,STATE,4,40,
4061,STATE,5,40,
4070,STATE,6,40,
4086,STATE,7,40,
4105,STATE,0,41,
4114,STATE,1,41,
4117,STATE,2,41,
4128,STATE,3,41,
4159,STATE,4,41,
4169,STATE,6,41,
4172,STATE,5,41,
4187,STATE,7,41,
4209,STATE,0,42,
4211,STATE,1,42,
4229,STATE,2,42,
4245,STATE,3,42,
4252,STATE,4,42,
4266,STATE,5,42,
4282,STATE,6,42,
4294,STATE,7,42,
4306,STATE,0,43,
4315,STATE,1,43,
4321,STATE,2,43,
4334,STATE,3,43,
4344,STATE,4,43,
4354,STATE,5,43,
4375,STATE,6,43,
4392,STATE,7,43,
4402,STATE,0,44,
4408,STATE,1,44,
4427,STATE,3,44,
4429,STATE,2,44,
4447,STATE,4,44,
4465,STATE,5,44,
4485,STATE,6,44,
4486,STATE,7,44,
4508,STATE,0,45,
4521,STATE,1,45,
4528,STATE,2,45,
4532,STATE,3,45,
4553,STATE,4,45,
4562,STATE,5,45,
4572,STATE,6,45,
4590,STATE,7,45,
4599,STATE,0,46,
4603,STATE,1,46,
4618,STATE,2,46,
4638,STATE,3,46,
4648,STATE,4,46,
4653,STATE,5,46,
4683,STATE,6,46,
4693,STATE,7,46,
4706,STATE,0,47,
4722,STATE,1,47,
4734,STATE,2,47,
4740,STATE,3,47,
4759,STATE,4,47,
4764,STATE,5,47,
4777,STATE,7,47,
4785,STATE,6,47,
4793,STATE,0,48,
4806,STATE,1,48,
4832,STATE,2,48,
4843,STATE,3,48,
4858,STATE,4,48,
4863,STATE,5,48,
4880,STATE,6,48,
4885,STATE,7,48,
4908,STATE,0,49,
4912,STATE,1,49,
4915,STATE,2,49,
4934,STATE,3,49,
4950,STATE,4,49,
4965,RAISE,2,400,3000
4967,STATE,5,49,
4967,STATE,6,49,
4980,STATE,7,49,
5003,STATE,0,50,
5018,STATE,1,50,
5029,STATE,2,50,
