t,dir,outcome,err,stream,seq,id,gen_time,on_time
20,DATA,STATE_APPLIED,OK,0,1,0,0,0
40,ACK,ACK_STATE,OK,0,1,0,0,0
300,DATA,STATE_APPLIED,OK,1,1,0,274,0
320,ACK,ACK_STATE,OK,1,1,0,0,0
750,DATA,STATE_APPLIED,OK,1,2,0,724,0
770,ACK,ACK_STATE,OK,1,2,0,0,0
1020,DATA,STATE_APPLIED,OK,0,2,0,1000,0
1040,ACK,ACK_STATE,OK,0,2,0,0,0
1270,DATA,STATE_APPLIED,OK,1,3,0,1245,0
1290,ACK,ACK_STATE,OK,1,3,0,0,0
1730,DATA,STATE_APPLIED,OK,1,4,0,1706,0
1750,ACK,ACK_STATE,OK,1,4,0,0,0
2020,DATA,STATE_APPLIED,OK,0,3,0,2000,0
2040,ACK,ACK_STATE,OK,0,3,0,0,0
2290,DATA,STATE_APPLIED,OK,1,5,0,2264,0
2310,ACK,ACK_STATE,OK,1,5,0,0,0
2800,DATA,STATE_APPLIED,OK,1,6,0,2777,0
2820,ACK,ACK_STATE,OK,1,6,0,0,0
3020,DATA,STATE_APPLIED,OK,0,4,0,3000,0
3040,ACK,ACK_STATE,OK,0,4,0,0,0
3260,DATA,STATE_APPLIED,OK,1,7,0,3236,0
3280,ACK,ACK_STATE,OK,1,7,0,0,0
3810,DATA,STATE_APPLIED,OK,1,8,0,3788,0
3830,ACK,ACK_STATE,OK,1,8,0,0,0
4020,DATA,STATE_APPLIED,OK,0,5,0,4000,0
4040,ACK,ACK_STATE,OK,0,5,0,0,0
4250,DATA,STATE_APPLIED,OK,1,9,0,4227,0
4270,ACK,ACK_STATE,OK,1,9,0,0,0
4780,DATA,STATE_APPLIED,OK,1,10,0,4756,0
4800,ACK,ACK_STATE,OK,1,10,0,0,0
5020,DATA,STATE_APPLIED,OK,0,6,0,5000,0
5040,ACK,ACK_STATE,OK,0,6,0,0,0
5260,DATA,STATE_APPLIED,OK,1,11,0,5232,0
5280,ACK,ACK_STATE,OK,1,11,0,0,0
5740,DATA,STATE_APPLIED,OK,1,12,0,5720,0
5760,ACK,ACK_STATE,OK,1,12,0,0,0
6020,DATA,STATE_APPLIED,OK,0,7,0,6000,0
6040,ACK,ACK_STATE,OK,0,7,0,0,0
6280,DATA,STATE_APPLIED,OK,1,13,0,6256,0
6300,ACK,ACK_STATE,OK,1,13,0,0,0
6790,DATA,STATE_APPLIED,OK,1,14,0,6768,0
6810,ACK,ACK_STATE,OK,1,14,0,0,0
7020,DATA,STATE_APPLIED,OK,0,8,0,7000,0
7040,ACK,ACK_STATE,OK,0,8,0,0,0
7250,DATA,STATE_APPLIED,OK,1,15,0,7224,0
7270,ACK,ACK_STATE,OK,1,15,0,0,0
7820,DATA,STATE_APPLIED,OK,1,16,0,7800,0
7840,ACK,ACK_STATE,OK,1,16,0,0,0
8020,DATA,STATE_APPLIED,OK,0,9,0,8000,0
8040,ACK,ACK_STATE,OK,0,9,0,0,0
8250,DATA,STATE_APPLIED,OK,1,17,0,8230,0
8270,ACK,ACK_STATE,OK,1,17,0,0,0
8780,DATA,STATE_APPLIED,OK,1,18,0,8751,0
8800,ACK,ACK_STATE,OK,1,18,0,0,0
15020,DATA,EVENT_DELIVERED,OK,0,0,2,12000,0
15030,DATA,STATE_APPLIED,OK,0,16,0,15000,0
15040,ACK,ACK_EVENT,OK,0,0,2,0,0
15050,ACK,ACK_STATE,OK,0,16,0,0,0
15120,DATA,EVENT_DELIVERED,OK,0,0,1,10000,0
15140,ACK,ACK_EVENT,OK,0,0,1,0,0
15250,DATA,STATE_APPLIED,OK,1,30,0,14753,0
15270,ACK,ACK_STATE,OK,1,30,0,0,0
15290,DATA,STATE_APPLIED,OK,1,31,0,15259,0
15310,ACK,ACK_STATE,OK,1,31,0,0,0
15790,DATA,STATE_APPLIED,OK,1,32,0,15768,0
15810,ACK,ACK_STATE,OK,1,32,0,0,0
16020,DATA,STATE_APPLIED,OK,0,17,0,16000,0
16040,ACK,ACK_STATE,OK,0,17,0,0,0
16270,DATA,STATE_APPLIED,OK,1,33,0,16244,0
16290,ACK,ACK_STATE,OK,1,33,0,0,0
16730,DATA,STATE_APPLIED,OK,1,34,0,16702,0
16750,ACK,ACK_STATE,OK,1,34,0,0,0
17020,DATA,STATE_APPLIED,OK,0,18,0,17000,0
17040,ACK,ACK_STATE,OK,0,18,0,0,0
17310,DATA,STATE_APPLIED,OK,1,35,0,17290,0
17330,ACK,ACK_STATE,OK,1,35,0,0,0
17730,DATA,STATE_APPLIED,OK,1,36,0,17701,0
17750,ACK,ACK_STATE,OK,1,36,0,0,0
18020,DATA,STATE_APPLIED,OK,0,19,0,18000,0
18040,ACK,ACK_STATE,OK,0,19,0,0,0
18300,DATA,STATE_APPLIED,OK,1,37,0,18272,0
18320,ACK,ACK_STATE,OK,1,37,0,0,0
18740,DATA,STATE_APPLIED,OK,1,38,0,18719,0
18760,ACK,ACK_STATE,OK,1,38,0,0,0
