id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,7,2166,3166,12166,1,ACKED,2510,2,2170,2490,1,324,0,0
2,RAISE,1,2908,3908,12908,1,ACKED,2950,1,2910,2930,1,22,0,0
3,CLEAR,7,2910,3910,12910,1,ACKED,2960,1,2920,2940,1,30,0,0
4,CLEAR,1,3135,4135,13135,1,ACKED,3180,1,3140,3160,1,25,0,0
5,RAISE,5,5700,6700,15700,1,ACKED,5740,1,5700,5720,1,20,0,0
6,CLEAR,5,6898,7898,16898,1,ACKED,6940,1,6900,6920,1,22,0,0
7,RAISE,2,14494,15494,24494,1,ACKED,14540,1,14500,14520,1,26,0,0
8,CLEAR,2,15619,16619,25619,1,ACKED,15660,1,15620,15640,1,21,0,0
9,RAISE,8,20806,21806,30806,1,ACKED,20850,1,20810,20830,1,24,0,0
10,CLEAR,8,21254,22254,31254,1,ACKED,21600,2,21260,21580,1,326,0,0
11,RAISE,10,21469,22469,31469,1,ACKED,21510,1,21470,21490,1,21,0,0
12,CLEAR,10,22590,23590,32590,1,ACKED,22630,1,22590,22610,1,20,0,0
13,RAISE,3,22865,23865,32865,1,ACKED,22910,1,22870,22890,1,25,0,0
14,CLEAR,3,23626,24626,33626,1,ACKED,23670,1,23630,23650,1,24,0,0
15,RAISE,9,23649,24649,33649,1,ACKED,23690,1,23650,23670,1,21,0,0
16,CLEAR,9,24025,25025,34025,1,ACKED,24070,1,24030,24050,1,25,0,0
17,RAISE,6,25482,26482,35482,1,ACKED,25830,2,25490,25810,1,328,0,0
18,CLEAR,6,25808,26808,35808,1,ACKED,25850,1,25810,25830,1,22,0,0
19,RAISE,4,26232,27232,36232,1,ACKED,26280,1,26240,26260,1,28,0,0
20,CLEAR,4,27694,28694,37694,1,ACKED,27740,1,27700,27720,1,26,0,0
