id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,10,4469,5469,14469,1,ACKED,4520,1,4480,4500,1,31,0,0
2,CLEAR,10,5865,6865,15865,1,ACKED,5910,1,5870,5890,1,25,0,0
3,RAISE,8,5950,6950,15950,1,ACKED,5990,1,5950,5970,1,20,0,0
4,CLEAR,8,7312,8312,17312,1,ACKED,7360,1,7320,7340,1,28,0,0
5,RAISE,1,9960,10960,19960,1,ACKED,10000,1,9960,9980,1,20,0,0
6,CLEAR,1,10354,11354,20354,1,ACKED,10400,1,10360,10380,1,26,0,0
7,RAISE,3,11252,12252,21252,1,ACKED,11300,1,11260,11280,1,28,0,0
8,CLEAR,3,12418,13418,22418,1,ACKED,13060,3,12420,13040,1,622,0,0
9,RAISE,9,13189,14189,23189,1,ACKED,13230,1,13190,13210,1,21,0,0
10,CLEAR,9,13716,14716,23716,1,ACKED,13760,1,13720,13740,1,24,0,0
11,RAISE,4,15445,16445,25445,1,ACKED,15790,2,15450,15770,1,325,0,0
12,CLEAR,4,16520,17520,26520,1,ACKED,16560,1,16520,16540,1,20,0,0
13,RAISE,7,21260,22260,31260,1,ACKED,21300,1,21260,21280,1,20,0,0
14,CLEAR,7,21938,22938,31938,1,ACKED,21980,1,21940,21960,1,22,0,0
15,RAISE,6,22996,23996,32996,1,ACKED,23040,1,23000,23020,1,24,0,0
16,CLEAR,6,23620,24620,33620,1,ACKED,23660,1,23620,23640,1,20,0,0
17,RAISE,5,24432,25432,34432,1,ACKED,24790,2,24450,24770,1,338,0,0
18,CLEAR,5,25656,26656,35656,1,ACKED,25700,1,25660,25680,1,24,0,0
19,RAISE,2,25727,26727,35727,1,ACKED,26070,2,25730,26050,1,323,0,0
20,CLEAR,2,26588,27588,36588,1,ACKED,26930,2,26590,26910,1,322,0,0
