id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,5,4329,5329,14329,1,ACKED,4670,2,4330,4650,1,321,0,0
2,CLEAR,5,5603,6603,15603,1,ACKED,5650,1,5610,5630,1,27,0,0
3,RAISE,10,14919,15919,24919,1,ACKED,14960,1,14920,14940,1,21,0,0
4,CLEAR,10,16158,17158,26158,1,ACKED,16800,3,16160,16180,1,22,1,0
5,RAISE,9,16664,17664,26664,1,ACKED,16710,1,16670,16690,1,26,0,0
6,CLEAR,9,17871,18871,27871,1,ACKED,17920,1,17880,17900,1,29,0,0
7,RAISE,6,18764,19764,28764,1,ACKED,18810,1,18770,18790,1,26,0,0
8,RAISE,2,19465,20465,29465,1,ACKED,19510,1,19470,19490,1,25,0,0
9,CLEAR,2,19862,20862,29862,1,ACKED,19910,1,19870,19890,1,28,0,0
10,CLEAR,6,20133,21133,30133,1,ACKED,20180,1,20140,20160,1,27,0,0
11,RAISE,7,22210,23210,32210,1,ACKED,22850,3,22210,22830,1,620,0,0
12,CLEAR,7,22544,23544,32544,1,ACKED,22890,2,22550,22870,1,326,0,0
13,RAISE,8,23082,24082,33082,1,ACKED,23130,1,23090,23110,1,28,0,0
14,CLEAR,8,23331,24331,33331,1,ACKED,23680,2,23340,23360,1,29,1,0
15,RAISE,4,23887,24887,33887,1,ACKED,23930,1,23890,23910,1,23,0,0
16,CLEAR,4,24112,25112,34112,1,ACKED,24160,1,24120,24140,1,28,0,0
17,RAISE,3,24994,25994,34994,1,ACKED,25040,1,25000,25020,1,26,0,0
18,CLEAR,3,25573,26573,35573,1,ACKED,25620,1,25580,25600,1,27,0,0
19,RAISE,1,26540,27540,36540,1,ACKED,26580,1,26540,26560,1,20,0,0
20,CLEAR,1,27829,28829,37829,1,ACKED,28170,2,27830,28150,1,321,0,0
