id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,9960,10960,19960,1,ACKED,10000,1,9960,9980,1,20,0,0
2,CLEAR,1,10354,11354,20354,1,ACKED,10400,1,10360,10380,1,26,0,0
3,RAISE,3,11252,12252,21252,1,ACKED,11300,1,11260,11280,1,28,0,0
4,CLEAR,3,12418,13418,22418,1,ACKED,12460,1,12420,12440,1,22,0,0
5,RAISE,4,15445,16445,25445,1,ACKED,15490,1,15450,15470,1,25,0,0
6,CLEAR,4,16520,17520,26520,1,ACKED,16560,1,16520,16540,1,20,0,0
7,RAISE,6,22996,23996,32996,1,ACKED,23040,1,23000,23020,1,24,0,0
8,CLEAR,6,23620,24620,33620,1,ACKED,23660,1,23620,23640,1,20,0,0
9,RAISE,5,24432,25432,34432,1,ACKED,24480,1,24440,24460,1,28,0,0
10,CLEAR,5,25656,26656,35656,1,ACKED,25700,1,25660,25680,1,24,0,0
11,RAISE,2,25727,26727,35727,1,ACKED,25770,1,25730,25750,1,23,0,0
12,CLEAR,2,26588,27588,36588,1,ACKED,26630,1,26590,26610,1,22,0,0
