id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,5100,7100,13100,1,ACKED,12040,24,5100,12020,0,6920,0,0
2,RAISE,2,5200,7200,13200,1,ACKED,12440,25,5200,12420,0,7220,0,0
3,RAISE,3,5300,7300,13300,1,ACKED,12240,24,5300,12220,0,6920,0,0
4,RAISE,4,5400,7400,13400,1,ACKED,12050,23,5410,12030,0,6630,0,0
5,RAISE,5,5500,7500,13500,1,ACKED,12150,23,5510,12130,0,6630,0,0
6,RAISE,6,5600,7600,13600,1,ACKED,12250,23,5610,12230,0,6630,0,0
7,RAISE,7,5700,7700,13700,1,ACKED,12060,22,5720,12040,0,6340,0,0
8,RAISE,8,5800,7800,13800,1,ACKED,12160,22,5820,12140,0,6340,0,0
9,RAISE,9,5900,7900,13900,0,REJECTED_FULL,5900,0,-,-,-,-,0,0
10,RAISE,10,6000,8000,14000,0,REJECTED_FULL,6000,0,-,-,-,-,0,0
11,RAISE,11,6100,8100,14100,0,REJECTED_FULL,6100,0,-,-,-,-,0,0
12,RAISE,12,6200,8200,14200,0,REJECTED_FULL,6200,0,-,-,-,-,0,0
13,RAISE,13,6300,8300,14300,0,REJECTED_FULL,6300,0,-,-,-,-,0,0
14,RAISE,14,6400,8400,14400,0,REJECTED_FULL,6400,0,-,-,-,-,0,0
15,RAISE,15,6500,8500,14500,0,REJECTED_FULL,6500,0,-,-,-,-,0,0
16,RAISE,16,6600,8600,14600,0,REJECTED_FULL,6600,0,-,-,-,-,0,0
17,RAISE,17,6700,8700,14700,0,REJECTED_FULL,6700,0,-,-,-,-,0,0
18,RAISE,18,6800,8800,14800,0,REJECTED_FULL,6800,0,-,-,-,-,0,0
19,RAISE,19,6900,8900,14900,0,REJECTED_FULL,6900,0,-,-,-,-,0,0
20,RAISE,20,7000,9000,15000,0,REJECTED_FULL,7000,0,-,-,-,-,0,0
21,CLEAR,1,13000,15000,21000,1,ACKED,13040,1,13000,13020,1,20,0,0
22,CLEAR,2,13100,15100,21100,1,ACKED,13140,1,13100,13120,1,20,0,0
23,CLEAR,3,13200,15200,21200,1,ACKED,13240,1,13200,13220,1,20,0,0
24,CLEAR,4,13300,15300,21300,1,ACKED,13340,1,13300,13320,1,20,0,0
25,CLEAR,5,13400,15400,21400,1,ACKED,13440,1,13400,13420,1,20,0,0
26,CLEAR,6,13500,15500,21500,1,ACKED,13540,1,13500,13520,1,20,0,0
27,CLEAR,7,13600,15600,21600,1,ACKED,13640,1,13600,13620,1,20,0,0
28,CLEAR,8,13700,15700,21700,1,ACKED,13740,1,13700,13720,1,20,0,0
29,CLEAR,9,13800,15800,21800,1,ACKED,13840,1,13800,13820,1,20,0,0
30,CLEAR,10,13900,15900,21900,1,ACKED,13940,1,13900,13920,1,20,0,0
31,CLEAR,11,14000,16000,22000,1,ACKED,14040,1,14000,14020,1,20,0,0
32,CLEAR,12,14100,16100,22100,1,ACKED,14140,1,14100,14120,1,20,0,0
33,CLEAR,13,14200,16200,22200,1,ACKED,14240,1,14200,14220,1,20,0,0
34,CLEAR,14,14300,16300,22300,1,ACKED,14340,1,14300,14320,1,20,0,0
35,CLEAR,15,14400,16400,22400,1,ACKED,14440,1,14400,14420,1,20,0,0
36,CLEAR,16,14500,16500,22500,1,ACKED,14540,1,14500,14520,1,20,0,0
37,CLEAR,17,14600,16600,22600,1,ACKED,14640,1,14600,14620,1,20,0,0
38,CLEAR,18,14700,16700,22700,1,ACKED,14740,1,14700,14720,1,20,0,0
39,CLEAR,19,14800,16800,22800,1,ACKED,14840,1,14800,14820,1,20,0,0
40,CLEAR,20,14900,16900,22900,1,ACKED,14940,1,14900,14920,1,20,0,0
