id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,5000,5200,6000,1,ACKED,5040,1,5000,5020,1,20,0,0
2,RAISE,2,5008,5208,6008,1,ACKED,5050,1,5010,5030,1,22,0,0
3,RAISE,3,5016,5216,6016,1,ACKED,5070,1,5030,5050,1,34,0,0
4,RAISE,4,5024,5224,6024,1,ACKED,5080,1,5040,5060,1,36,0,0
5,RAISE,5,5032,5232,6032,1,ACKED,5090,1,5050,5070,1,38,0,0
6,RAISE,6,5040,5240,6040,1,ACKED,5100,1,5060,5080,1,40,0,0
7,RAISE,7,5048,5248,6048,1,ACKED,5110,1,5070,5090,1,42,0,0
8,RAISE,8,5056,5256,6056,1,ACKED,5120,1,5080,5100,1,44,0,0
9,RAISE,9,5064,5264,6064,1,ACKED,5440,2,5100,5420,0,356,0,0
10,RAISE,10,5072,5272,6072,1,ACKED,5150,1,5110,5130,1,58,0,0
11,RAISE,11,5080,5280,6080,1,ACKED,5160,1,5120,5140,1,60,0,0
12,RAISE,12,5088,5288,6088,1,ACKED,5170,1,5130,5150,1,62,0,0
13,RAISE,13,5096,5296,6096,1,ACKED,5180,1,5140,5160,1,64,0,0
14,RAISE,14,5104,5304,6104,1,ACKED,5190,1,5150,5170,1,66,0,0
15,RAISE,15,5112,5312,6112,1,ACKED,5200,1,5160,5180,1,68,0,0
16,RAISE,16,5120,5320,6120,0,REJECTED_FULL,5120,0,-,-,-,-,0,0
17,RAISE,17,5128,5328,6128,1,ACKED,5220,1,5180,5200,1,72,0,0
18,RAISE,18,5136,5336,6136,0,REJECTED_FULL,5136,0,-,-,-,-,0,0
19,RAISE,19,5144,5344,6144,0,REJECTED_FULL,5144,0,-,-,-,-,0,0
20,RAISE,20,5152,5352,6152,1,ACKED,5230,1,5190,5210,1,58,0,0
21,RAISE,21,5160,5360,6160,0,REJECTED_FULL,5160,0,-,-,-,-,0,0
22,RAISE,22,5168,5368,6168,1,ACKED,5240,1,5200,5220,1,52,0,0
23,RAISE,23,5176,5376,6176,1,ACKED,5250,1,5210,5230,1,54,0,0
24,RAISE,24,5184,5384,6184,1,ACKED,5260,1,5220,5240,1,56,0,0
25,RAISE,25,5192,5392,6192,1,ACKED,5280,1,5240,5260,1,68,0,0
26,RAISE,26,5200,5400,6200,0,REJECTED_FULL,5200,0,-,-,-,-,0,0
27,RAISE,27,5208,5408,6208,1,ACKED,5290,1,5250,5270,1,62,0,0
28,RAISE,28,5216,5416,6216,0,REJECTED_FULL,5216,0,-,-,-,-,0,0
29,RAISE,29,5224,5424,6224,1,ACKED,5300,1,5260,5280,1,56,0,0
30,RAISE,30,5232,5432,6232,1,ACKED,5310,1,5270,5290,1,58,0,0
31,RAISE,31,5240,5440,6240,0,REJECTED_FULL,5240,0,-,-,-,-,0,0
32,RAISE,32,5248,5448,6248,1,ACKED,5320,1,5280,5300,1,52,0,0
33,RAISE,33,5256,5456,6256,1,ACKED,5330,1,5290,5310,1,54,0,0
34,RAISE,34,5264,5464,6264,1,ACKED,5340,1,5300,5320,1,56,0,0
35,RAISE,35,5272,5472,6272,0,REJECTED_FULL,5272,0,-,-,-,-,0,0
36,RAISE,36,5280,5480,6280,0,REJECTED_FULL,5280,0,-,-,-,-,0,0
37,RAISE,37,5288,5488,6288,1,ACKED,5360,1,5320,5340,1,52,0,0
38,RAISE,38,5296,5496,6296,1,ACKED,5370,1,5330,5350,1,54,0,0
39,RAISE,39,5304,5504,6304,1,ACKED,5380,1,5340,5360,1,56,0,0
40,RAISE,40,5312,5512,6312,1,ACKED,5390,1,5350,5370,1,58,0,0
41,RAISE,41,5320,5520,6320,0,REJECTED_FULL,5320,0,-,-,-,-,0,0
42,RAISE,42,5328,5528,6328,1,ACKED,5410,1,5370,5390,1,62,0,0
43,RAISE,43,5336,5536,6336,1,ACKED,5420,1,5380,5400,1,64,0,0
44,RAISE,44,5344,5544,6344,1,ACKED,5430,1,5390,5410,1,66,0,0
45,RAISE,45,5352,5552,6352,0,REJECTED_FULL,5352,0,-,-,-,-,0,0
46,RAISE,46,5360,5560,6360,0,REJECTED_FULL,5360,0,-,-,-,-,0,0
47,RAISE,47,5368,5568,6368,1,ACKED,5450,1,5410,5430,1,62,0,0
48,RAISE,48,5376,5576,6376,1,ACKED,5460,1,5420,5440,1,64,0,0
49,RAISE,49,5384,5584,6384,1,ACKED,5480,1,5440,5460,1,76,0,0
50,RAISE,50,5392,5592,6392,1,ACKED,5490,1,5450,5470,1,78,0,0
51,RAISE,51,5400,5600,6400,0,REJECTED_FULL,5400,0,-,-,-,-,0,0
52,RAISE,52,5408,5608,6408,0,REJECTED_FULL,5408,0,-,-,-,-,0,0
53,RAISE,53,5416,5616,6416,1,ACKED,5500,1,5460,5480,1,64,0,0
54,RAISE,54,5424,5624,6424,1,ACKED,5510,1,5470,5490,1,66,0,0
55,RAISE,55,5432,5632,6432,1,ACKED,5530,1,5490,5510,1,78,0,0
56,RAISE,56,5440,5640,6440,0,REJECTED_FULL,5440,0,-,-,-,-,0,0
