id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,5,3284,4284,13284,1,ACKED,3510,1,3290,3490,1,206,0,0
2,RAISE,6,4543,5543,14543,1,ACKED,4950,2,4550,4750,1,207,1,0
3,CLEAR,5,4662,5662,14662,1,ACKED,5070,2,4670,4870,1,208,1,0
4,CLEAR,6,5273,6273,15273,1,ACKED,5320,1,5280,5300,1,27,0,0
5,RAISE,3,13691,14691,23691,1,ACKED,13740,1,13700,13720,1,29,0,0
6,RAISE,2,14135,15135,24135,1,ACKED,14480,2,14140,14340,1,205,1,0
7,CLEAR,3,14578,15578,24578,1,ACKED,14620,1,14580,14600,1,22,0,0
8,CLEAR,2,15118,16118,25118,1,ACKED,15340,1,15120,15320,1,202,0,0
9,RAISE,4,24809,25809,34809,1,ACKED,24850,1,24810,24830,1,21,0,0
10,RAISE,1,25859,26859,35859,1,ACKED,26260,2,25860,26060,1,201,1,0
11,CLEAR,4,25859,26859,35859,1,ACKED,25910,1,25870,25890,1,31,0,0
12,CLEAR,1,26259,27259,36259,1,ACKED,26300,1,26260,26280,1,21,0,0
