id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,3,5739,6739,15739,1,ACKED,5960,1,5740,5940,1,201,0,0
2,CLEAR,3,6321,7321,16321,1,ACKED,6370,1,6330,6350,1,29,0,0
3,RAISE,4,8133,9133,18133,1,ACKED,8540,2,8140,8340,1,207,1,0
4,RAISE,1,8164,9164,18164,1,ACKED,8510,2,8170,8370,1,206,1,0
5,CLEAR,4,8546,9546,18546,1,ACKED,8890,2,8550,8750,1,204,1,0
6,CLEAR,1,8561,9561,18561,1,ACKED,8610,1,8570,8590,1,29,0,0
7,RAISE,5,10474,11474,20474,1,ACKED,10700,1,10480,10500,1,26,0,0
8,CLEAR,5,10832,11832,20832,1,ACKED,10880,1,10840,10860,1,28,0,0
9,RAISE,6,14900,15900,24900,1,ACKED,15120,1,14900,14920,1,20,0,0
10,CLEAR,6,16376,17376,26376,1,ACKED,16420,1,16380,16400,1,24,0,0
11,RAISE,2,22295,23295,32295,1,ACKED,22520,1,22300,22320,1,25,0,0
12,CLEAR,2,22916,23916,32916,1,ACKED,22960,1,22920,22940,1,24,0,0
