t,dir,outcome,err,stream,seq,id,gen_time,on_time
30,DATA,STATE_APPLIED,OK,0,1,0,8,0
40,DATA,STATE_APPLIED,OK,1,1,0,17,0
50,ACK,ACK_STATE,OK,0,1,0,0,0
60,DATA,STATE_APPLIED,OK,2,1,0,31,0
60,ACK,ACK_STATE,OK,1,1,0,0,0
70,DATA,STATE_APPLIED,OK,3,1,0,47,0
80,ACK,ACK_STATE,OK,2,1,0,0,0
90,ACK,ACK_STATE,OK,3,1,0,0,0
100,DATA,STATE_APPLIED,OK,6,1,0,65,0
110,DATA,STATE_APPLIED,OK,7,1,0,86,0
120,DATA,STATE_APPLIED,OK,0,2,0,96,0
120,ACK,ACK_STATE,OK,6,1,0,0,0
130,DATA,STATE_APPLIED,OK,1,2,0,108,0
130,ACK,ACK_STATE,OK,7,1,0,0,0
140,ACK,ACK_STATE,OK,0,2,0,0,0
150,ACK,ACK_STATE,OK,1,2,0,0,0
170,DATA,STATE_APPLIED,OK,3,2,0,144,0
190,ACK,ACK_STATE,OK,3,2,0,0,0
270,DATA,STATE_APPLIED,OK,3,3,0,244,0
290,ACK,ACK_STATE,OK,3,3,0,0,0
360,DATA,STATE_APPLIED,OK,3,4,0,340,0
380,DATA,STATE_APPLIED,OK,4,4,0,342,0
380,ACK,ACK_STATE,OK,3,4,0,0,0
390,DATA,STATE_APPLIED,OK,5,4,0,362,0
400,ACK,ACK_STATE,OK,4,4,0,0,0
410,ACK,ACK_STATE,OK,5,4,0,0,0
440,DATA,STATE_APPLIED,OK,2,4,0,335,0
460,ACK,ACK_STATE,OK,2,4,0,0,0
470,DATA,STATE_APPLIED,OK,3,5,0,442,0
490,DATA,STATE_APPLIED,OK,4,5,0,453,0
490,ACK,ACK_STATE,OK,3,5,0,0,0
510,DATA,STATE_APPLIED,OK,6,5,0,474,0
520,DATA,STATE_APPLIED,OK,7,5,0,492,0
530,DATA,STATE_APPLIED,OK,0,6,0,491,0
530,ACK,ACK_STATE,OK,6,5,0,0,0
540,DATA,STATE_APPLIED,OK,1,6,0,512,0
540,ACK,ACK_STATE,OK,7,5,0,0,0
550,ACK,ACK_STATE,OK,0,6,0,0,0
560,DATA,STATE_APPLIED,OK,3,6,0,535,0
560,ACK,ACK_STATE,OK,1,6,0,0,0
580,ACK,ACK_STATE,OK,3,6,0,0,0
630,DATA,STATE_APPLIED,OK,0,7,0,606,0
640,DATA,STATE_APPLIED,OK,1,7,0,603,0
650,ACK,ACK_STATE,OK,0,7,0,0,0
660,DATA,STATE_APPLIED,OK,3,7,0,636,0
660,ACK,ACK_STATE,OK,1,7,0,0,0
680,ACK,ACK_STATE,OK,3,7,0,0,0
730,DATA,STATE_APPLIED,OK,1,8,0,709,0
750,ACK,ACK_STATE,OK,1,8,0,0,0
770,DATA,STATE_APPLIED,OK,3,8,0,743,0
790,DATA,STATE_APPLIED,OK,4,8,0,740,0
790,ACK,ACK_STATE,OK,3,8,0,0,0
800,DATA,STATE_APPLIED,OK,5,8,0,763,0
810,ACK,ACK_STATE,OK,4,8,0,0,0
820,ACK,ACK_STATE,OK,5,8,0,0,0
840,DATA,STATE_APPLIED,OK,1,9,0,811,0
850,DATA,STATE_APPLIED,OK,3,9,0,830,0
860,ACK,ACK_STATE,OK,1,9,0,0,0
870,DATA,STATE_APPLIED,OK,4,9,0,850,0
870,ACK,ACK_STATE,OK,3,9,0,0,0
890,DATA,STATE_APPLIED,OK,5,9,0,866,0
890,ACK,ACK_STATE,OK,4,9,0,0,0
910,ACK,ACK_STATE,OK,5,9,0,0,0
920,DATA,STATE_APPLIED,OK,7,9,0,878,0
940,DATA,STATE_APPLIED,OK,1,10,0,918,0
960,ACK,ACK_STATE,OK,1,10,0,0,0
970,DATA,STATE_APPLIED,OK,3,10,0,944,0
980,DATA,STATE_APPLIED,OK,4,10,0,949,0
990,DATA,STATE_APPLIED,OK,5,10,0,965,0
990,ACK,ACK_STATE,OK,3,10,0,0,0
1000,ACK,ACK_STATE,OK,4,10,0,0,0
1010,ACK,ACK_STATE,OK,5,10,0,0,0
1030,DATA,STATE_APPLIED,OK,1,11,0,1010,0
1050,DATA,STATE_APPLIED,OK,3,11,0,1028,0
1050,ACK,ACK_STATE,OK,1,11,0,0,0
1070,DATA,STATE_APPLIED,OK,4,11,0,1048,0
1070,ACK,ACK_STATE,OK,3,11,0,0,0
1080,DATA,STATE_APPLIED,OK,2,11,0,1027,0
1090,DATA,STATE_APPLIED,OK,5,11,0,1067,0
1090,ACK,ACK_STATE,OK,4,11,0,0,0
1100,ACK,ACK_STATE,OK,2,11,0,0,0
1110,ACK,ACK_STATE,OK,5,11,0,0,0
1130,DATA,STATE_APPLIED,OK,1,12,0,1103,0
1150,DATA,STATE_APPLIED,OK,2,12,0,1127,0
1150,ACK,ACK_STATE,OK,1,12,0,0,0
1170,ACK,ACK_STATE,OK,2,12,0,0,0
1180,DATA,STATE_APPLIED,OK,4,12,0,1157,0
1190,DATA,STATE_APPLIED,OK,5,12,0,1164,0
1200,ACK,ACK_STATE,OK,4,12,0,0,0
1210,ACK,ACK_STATE,OK,5,12,0,0,0
1240,DATA,STATE_APPLIED,OK,1,13,0,1214,0
1250,DATA,STATE_APPLIED,OK,2,13,0,1227,0
1260,ACK,ACK_STATE,OK,1,13,0,0,0
1270,ACK,ACK_STATE,OK,2,13,0,0,0
1280,DATA,STATE_APPLIED,OK,4,13,0,1259,0
1290,DATA,STATE_APPLIED,OK,5,13,0,1263,0
1300,ACK,ACK_STATE,OK,4,13,0,0,0
1320,DATA,STATE_APPLIED,OK,0,14,0,1300,0
1340,ACK,ACK_STATE,OK,0,14,0,0,0
1350,DATA,STATE_APPLIED,OK,2,14,0,1325,0
1370,DATA,STATE_APPLIED,OK,4,14,0,1347,0
1370,ACK,ACK_STATE,OK,2,14,0,0,0
1390,ACK,ACK_STATE,OK,4,14,0,0,0
1430,DATA,STATE_APPLIED,OK,0,15,0,1404,0
1450,DATA,STATE_APPLIED,OK,2,15,0,1428,0
1470,DATA,STATE_APPLIED,OK,3,15,0,1438,0
1470,ACK,ACK_STATE,OK,2,15,0,0,0
1490,ACK,ACK_STATE,OK,3,15,0,0,0
1500,DATA,STATE_APPLIED,OK,6,15,0,1470,0
1520,ACK,ACK_STATE,OK,6,15,0,0,0
1540,DATA,STATE_APPLIED,OK,2,16,0,1517,0
1560,DATA,STATE_APPLIED,OK,3,16,0,1537,0
1560,ACK,ACK_STATE,OK,2,16,0,0,0
1580,ACK,ACK_STATE,OK,3,16,0,0,0
1590,DATA,STATE_APPLIED,OK,5,16,0,1569,0
1610,DATA,STATE_APPLIED,OK,6,16,0,1582,0
1610,ACK,ACK_STATE,OK,5,16,0,0,0
1630,DATA,STATE_APPLIED,OK,1,16,0,1520,0
1630,ACK,ACK_STATE,OK,6,16,0,0,0
1650,ACK,ACK_STATE,OK,1,16,0,0,0
1660,DATA,STATE_APPLIED,OK,2,17,0,1633,0
1670,DATA,STATE_APPLIED,OK,1,17,0,1622,0
1680,ACK,ACK_STATE,OK,2,17,0,0,0
1690,DATA,STATE_APPLIED,OK,5,17,0,1657,0
