id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,2,1181,1581,4181,1,ACKED,1230,1,1190,1210,1,29,0,0
2,RAISE,2,1679,2079,4679,1,ACKED,1720,1,1680,1700,1,21,0,0
3,RAISE,1,3210,3610,6210,1,ACKED,3250,1,3210,3230,1,20,0,0
4,RAISE,2,3349,3749,6349,1,ACKED,3690,2,3350,3370,1,21,1,0
5,RAISE,2,3501,3901,6501,1,ACKED,3550,1,3510,3530,1,29,0,0
6,CLEAR,1,3700,4100,6700,1,ACKED,3740,1,3700,3720,1,20,0,0
7,RAISE,2,3736,4136,6736,1,ACKED,3780,1,3740,3760,1,24,0,0
8,RAISE,2,4095,4495,7095,1,ACKED,4140,1,4100,4120,1,25,0,0
9,RAISE,1,6210,6610,9210,1,ACKED,6250,1,6210,6230,1,20,0,0
10,CLEAR,1,6700,7100,9700,1,ACKED,6740,1,6700,6720,1,20,0,0
11,RAISE,2,7129,7529,10129,1,ACKED,7470,2,7130,7450,1,321,0,0
12,RAISE,2,7704,8104,10704,1,ACKED,7750,1,7710,7730,1,26,0,0
13,RAISE,2,7775,8175,10775,1,ACKED,9320,6,7780,7800,1,25,1,0
14,RAISE,1,9210,9610,12210,1,ACKED,9250,1,9210,9230,1,20,0,0
15,CLEAR,1,9700,10100,12700,1,ACKED,9740,1,9700,9720,1,20,0,0
16,RAISE,2,9960,10360,12960,1,ACKED,10000,1,9960,9980,1,20,0,0
17,RAISE,2,10429,10829,13429,1,ACKED,10470,1,10430,10450,1,21,0,0
18,RAISE,2,10708,11108,13708,1,ACKED,10750,1,10710,10730,1,22,0,0
19,RAISE,2,10771,11171,13771,1,ACKED,12320,6,10780,12300,0,1529,0,0
20,RAISE,1,12210,12610,15210,1,ACKED,12250,1,12210,12230,1,20,0,0
21,CLEAR,1,12700,13100,15700,1,ACKED,12740,1,12700,12720,1,20,0,0
22,RAISE,2,13492,13892,16492,1,ACKED,13540,1,13500,13520,1,28,0,0
23,RAISE,1,15210,15610,18210,1,ACKED,15250,1,15210,15230,1,20,0,0
24,RAISE,2,15642,16042,18642,1,ACKED,15690,1,15650,15670,1,28,0,0
25,CLEAR,1,15700,16100,18700,1,ACKED,16040,2,15700,16020,1,320,0,0
26,RAISE,1,18210,18610,21210,1,ACKED,18550,2,18210,18530,1,320,0,0
27,RAISE,2,18303,18703,21303,1,ACKED,18350,1,18310,18330,1,27,0,0
28,CLEAR,1,18700,19100,21700,1,ACKED,18740,1,18700,18720,1,20,0,0
29,RAISE,1,21210,21610,24210,1,ACKED,21250,1,21210,21230,1,20,0,0
30,CLEAR,1,21700,22100,24700,1,ACKED,21740,1,21700,21720,1,20,0,0
31,RAISE,2,21905,22305,24905,1,ACKED,21950,1,21910,21930,1,25,0,0
32,RAISE,2,22190,22590,25190,1,ACKED,22530,2,22190,22510,1,320,0,0
33,RAISE,2,22434,22834,25434,1,ACKED,22480,1,22440,22460,1,26,0,0
34,RAISE,1,24210,24610,27210,1,ACKED,24250,1,24210,24230,1,20,0,0
35,CLEAR,1,24700,25100,27700,1,ACKED,24740,1,24700,24720,1,20,0,0
36,RAISE,1,27210,27610,30210,1,ACKED,27250,1,27210,27230,1,20,0,0
37,CLEAR,1,27700,28100,30700,1,ACKED,28340,3,27700,28320,0,620,0,0
38,RAISE,2,27814,28214,30814,1,ACKED,27860,1,27820,27840,1,26,0,0
