id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,2,1095,1495,4095,1,ACKED,1140,1,1100,1120,1,25,0,0
2,RAISE,2,1135,1535,4135,1,ACKED,1180,1,1140,1160,1,25,0,0
3,RAISE,2,1384,1784,4384,1,ACKED,1730,2,1390,1710,1,326,0,0
4,RAISE,2,1473,1873,4473,1,ACKED,1520,1,1480,1500,1,27,0,0
5,RAISE,1,3210,3610,6210,1,ACKED,3250,1,3210,3230,1,20,0,0
6,CLEAR,1,3700,4100,6700,1,ACKED,3740,1,3700,3720,1,20,0,0
7,RAISE,1,6210,6610,9210,1,ACKED,6870,3,6210,6230,1,20,1,0
8,RAISE,2,6354,6754,9354,1,ACKED,6400,1,6360,6380,1,26,0,0
9,CLEAR,1,6700,7100,9700,1,ACKED,6740,1,6700,6720,1,20,0,0
10,RAISE,2,7236,7636,10236,1,ACKED,7280,1,7240,7260,1,24,0,0
11,RAISE,2,7835,8235,10835,1,ACKED,7880,1,7840,7860,1,25,0,0
12,RAISE,1,9210,9610,12210,1,ACKED,9850,3,9210,9830,0,620,0,0
13,CLEAR,1,9700,10100,12700,1,ACKED,9740,1,9700,9720,1,20,0,0
14,RAISE,2,9913,10313,12913,1,ACKED,9960,1,9920,9940,1,27,0,0
15,RAISE,2,10880,11280,13880,1,ACKED,12420,6,10880,12400,0,1520,0,0
16,RAISE,1,12210,12610,15210,1,ACKED,12250,1,12210,12230,1,20,0,0
17,CLEAR,1,12700,13100,15700,1,ACKED,12740,1,12700,12720,1,20,0,0
18,RAISE,1,15210,15610,18210,1,ACKED,15250,1,15210,15230,1,20,0,0
19,CLEAR,1,15700,16100,18700,1,ACKED,15740,1,15700,15720,1,20,0,0
20,RAISE,1,18210,18610,21210,1,ACKED,18250,1,18210,18230,1,20,0,0
21,RAISE,2,18401,18801,21401,1,ACKED,18450,1,18410,18430,1,29,0,0
22,CLEAR,1,18700,19100,21700,1,ACKED,19040,2,18700,19020,1,320,0,0
23,RAISE,2,19048,19448,22048,1,ACKED,19090,1,19050,19070,1,22,0,0
24,RAISE,2,19402,19802,22402,1,ACKED,19450,1,19410,19430,1,28,0,0
25,RAISE,2,19589,19989,22589,1,ACKED,19630,1,19590,19610,1,21,0,0
26,RAISE,1,21210,21610,24210,1,ACKED,21250,1,21210,21230,1,20,0,0
27,CLEAR,1,21700,22100,24700,1,ACKED,21740,1,21700,21720,1,20,0,0
28,RAISE,2,22461,22861,25461,1,ACKED,24310,7,22470,24290,0,1829,0,0
29,RAISE,1,24210,24610,27210,1,ACKED,24250,1,24210,24230,1,20,0,0
30,CLEAR,1,24700,25100,27700,1,ACKED,24740,1,24700,24720,1,20,0,0
31,RAISE,2,24958,25358,27958,1,ACKED,25300,2,24960,25280,1,322,0,0
32,RAISE,2,25015,25415,28015,1,ACKED,25060,1,25020,25040,1,25,0,0
33,RAISE,1,27210,27610,30210,1,ACKED,27250,1,27210,27230,1,20,0,0
34,RAISE,2,27343,27743,30343,1,ACKED,27390,1,27350,27370,1,27,0,0
35,RAISE,2,27473,27873,30473,1,ACKED,27520,1,27480,27500,1,27,0,0
36,CLEAR,1,27700,28100,30700,1,ACKED,27740,1,27700,27720,1,20,0,0
37,RAISE,2,27899,28299,30899,1,ACKED,27940,1,27900,27920,1,21,0,0
38,RAISE,2,28636,29036,31636,1,ACKED,28680,1,28640,28660,1,24,0,0
