scenario,seed,policy,family,defer,late_demote,starvation_override,run_ms,slot_ms,n_streams,ack_timeout_ms,max_attempts,event_service_ms,slack_guard_ms,state_stale_ms,state_starvation_ms,aoi_threshold_ms,ev_generated,ev_admitted,ev_rejected_full,ev_acked,ev_retry_exhausted,ev_retention_expired,ev_pending_end,rx_ev_delivered,rx_ev_on_time,rx_ev_late,rx_ev_duplicate,rx_ev_out_of_window,rx_frames_rejected,rx_session_mismatch,rx_state_applied,rx_state_stale_dropped,rx_ack_event_dropped,rx_ack_state_coalesced,acks_ok,acks_unmatched,acks_impossible,recall,on_time_rate,delivered_but_unacked,lat_mean_ms,lat_max_ms,conf_mean_ms,conf_max_ms,aoi_mean_ms,aoi_mean_defined_ms,aoi_defined_streams,aoi_peak_ms,unknown_ms_sum,over_threshold_ms_sum,data_frames,ack_frames,data_lost,ack_lost,bytes_data_tx,bytes_ack_tx,bytes_total_tx,event_tx,event_retries,state_tx,state_published,state_superseded,state_ack_timeouts,in_transit_end,interval_violations,ledger_mismatch,sizeof_sender,sizeof_receiver,core_error
healthy_light,101,edf_rr,edf_rr,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,edf_rr_ld,edf_rr,0,1,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,fresh_nodefer,fresh_nodefer,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,fresh,fresh,1,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,fresh_ld,fresh,1,1,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,fresh_so,fresh,1,0,1,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,101,fifo,fifo,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.083,28,44.083,48,275.655,275.655,4,621,780,0,254,254,0,2,5648,3508,9156,12,0,242,240,0,2,0,0,0,888,296,0
healthy_light,102,edf_rr,edf_rr,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.151,281.151,4,890,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,edf_rr_ld,edf_rr,0,1,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.151,281.151,4,890,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,fresh_nodefer,fresh_nodefer,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.154,281.154,4,880,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,fresh,fresh,1,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.154,281.154,4,880,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,fresh_ld,fresh,1,1,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.154,281.154,4,880,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,fresh_so,fresh,1,0,1,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,24.167,28,44.167,48,281.154,281.154,4,880,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,102,fifo,fifo,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,4,0,0,252,0,0,1.000000,1.000000,0,25.000,30,45.000,50,281.112,281.112,4,880,830,0,260,256,4,4,5780,3536,9316,12,0,248,240,0,8,0,0,0,888,296,0
healthy_light,103,edf_rr,edf_rr,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.250,29,44.250,49,278.465,278.465,4,860,900,0,256,254,2,2,5692,3508,9200,12,0,244,240,0,4,0,0,0,888,296,0
healthy_light,103,edf_rr_ld,edf_rr,0,1,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.250,29,44.250,49,278.465,278.465,4,860,900,0,256,254,2,2,5692,3508,9200,12,0,244,240,0,4,0,0,0,888,296,0
healthy_light,103,fresh_nodefer,fresh_nodefer,0,0,0,30000,10,4,300,8,40,100,1000,2000,2000,12,12,0,12,0,0,0,12,12,0,0,0,0,0,240,2,0,0,252,0,0,1.000000,1.000000,0,24.250,29,44.250,49,278.465,278.465,4,860,900,0,256,254,2,2,5692,3508,9200,12,0,244,240,0,4,0,0,0,888,296,0
