scenario,policy,n_seeds,seeds,aoi_mean_defined_ms_mean,aoi_mean_defined_ms_min,aoi_mean_defined_ms_max,aoi_mean_defined_ms_n,aoi_defined_streams_mean,aoi_defined_streams_min,aoi_defined_streams_max,aoi_defined_streams_n,recall_mean,recall_min,recall_max,recall_n,on_time_rate_mean,on_time_rate_min,on_time_rate_max,on_time_rate_n,rx_ev_late_mean,rx_ev_late_min,rx_ev_late_max,rx_ev_late_n,ev_rejected_full_mean,ev_rejected_full_min,ev_rejected_full_max,ev_rejected_full_n,ev_retention_expired_mean,ev_retention_expired_min,ev_retention_expired_max,ev_retention_expired_n,ev_retry_exhausted_mean,ev_retry_exhausted_min,ev_retry_exhausted_max,ev_retry_exhausted_n,ev_pending_end_mean,ev_pending_end_min,ev_pending_end_max,ev_pending_end_n,delivered_but_unacked_mean,delivered_but_unacked_min,delivered_but_unacked_max,delivered_but_unacked_n,lat_mean_ms_mean,lat_mean_ms_min,lat_mean_ms_max,lat_mean_ms_n,aoi_mean_ms_mean,aoi_mean_ms_min,aoi_mean_ms_max,aoi_mean_ms_n,aoi_peak_ms_mean,aoi_peak_ms_min,aoi_peak_ms_max,aoi_peak_ms_n,over_threshold_ms_sum_mean,over_threshold_ms_sum_min,over_threshold_ms_sum_max,over_threshold_ms_sum_n,unknown_ms_sum_mean,unknown_ms_sum_min,unknown_ms_sum_max,unknown_ms_sum_n,bytes_total_tx_mean,bytes_total_tx_min,bytes_total_tx_max,bytes_total_tx_n,event_retries_mean,event_retries_min,event_retries_max,event_retries_n
healthy_light,edf_rr,5,101;102;103;104;105,279.675200,275.655,284.901,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.675200,275.655,284.901,5,825.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,edf_rr_ld,5,101;102;103;104;105,279.675200,275.655,284.901,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.675200,275.655,284.901,5,825.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,fresh_nodefer,5,101;102;103;104;105,279.680800,275.655,284.890,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.680800,275.655,284.890,5,823.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,fresh,5,101;102;103;104;105,279.680800,275.655,284.890,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.680800,275.655,284.890,5,823.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,fresh_ld,5,101;102;103;104;105,279.680800,275.655,284.890,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.680800,275.655,284.890,5,823.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,fresh_so,5,101;102;103;104;105,279.680800,275.655,284.890,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,279.680800,275.655,284.890,5,823.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
healthy_light,fifo,5,101;102;103;104;105,279.664400,275.655,284.890,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.516600,23.500,25.750,5,279.664400,275.655,284.890,5,823.800000,621,920,5,0.000000,0,0,5,838.000000,780,900,5,9236.400000,9156,9316,5,0.000000,0,0,5
alarm_outage,edf_rr,5,101;102;103;104;105,1072.590200,1049.543,1081.969,5,2.000000,2,2,5,1.000000,1.000000,1.000000,5,0.000000,0.000000,0.000000,5,2.000000,2,2,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,4070.000000,4070.000,4070.000,5,1072.590200,1049.543,1081.969,5,7032.000000,7030,7040,5,9511.600000,9275,9607,5,298.000000,250,340,5,4285.000000,4275,4311,5,27.000000,27,27,5
alarm_outage,edf_rr_ld,5,101;102;103;104;105,1072.590200,1049.543,1081.969,5,2.000000,2,2,5,1.000000,1.000000,1.000000,5,0.000000,0.000000,0.000000,5,2.000000,2,2,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,4070.000000,4070.000,4070.000,5,1072.590200,1049.543,1081.969,5,7032.000000,7030,7040,5,9511.600000,9275,9607,5,298.000000,250,340,5,4285.000000,4275,4311,5,27.000000,27,27,5
alarm_outage,fresh_nodefer,5,101;102;103;104;105,1072.556800,1049.376,1081.969,5,2.000000,2,2,5,1.000000,1.000000,1.000000,5,0.000000,0.000000,0.000000,5,2.000000,2,2,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,4070.000000,4070.000,4070.000,5,1072.556800,1049.376,1081.969,5,7030.000000,7030,7030,5,9511.600000,9275,9607,5,298.000000,250,340,5,4285.000000,4275,4311,5,27.000000,27,27,5
alarm_outage,fresh,5,101;102;103;104;105,1071.189600,1047.209,1080.802,5,2.000000,2,2,5,1.000000,1.000000,1.000000,5,0.000000,0.000000,0.000000,5,2.000000,2,2,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,4076.000000,4075.000,4080.000,5,1071.189600,1047.209,1080.802,5,7020.000000,7020,7020,5,9499.600000,9255,9597,5,298.000000,250,340,5,4285.000000,4275,4311,5,27.000000,27,27,5
alarm_outage,fresh_ld,5,101;102;103;104;105,1071.189600,1047.209,1080.802,5,2.000000,2,2,5,1.000000,1.000000,1.000000,5,0.000000,0.000000,0.000000,5,2.000000,2,2,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,4076.000000,4075.000,4080.000,5,1071.189600,1047.209,1080.802,5,7020.000000,7020,7020,5,9499.600000,9255,9597,5,298.000000,250,340,5,4285.000000,4275,4311,5,27.000000,27,27,5
