time_ms,action,a,b,c
0,STATE,0,0,
274,STATE,1,203,
724,STATE,1,204,
1000,STATE,0,0,
1245,STATE,1,204,
1706,STATE,1,206,
2000,STATE,0,0,
2264,STATE,1,204,
2777,STATE,1,202,
3000,STATE,0,0,
3236,STATE,1,202,
3788,STATE,1,205,
4000,STATE,0,0,
4227,STATE,1,204,
4756,STATE,1,201,
5000,STATE,0,0,
5232,STATE,1,199,
5720,STATE,1,196,
6000,STATE,0,0,
6256,STATE,1,199,
6768,STATE,1,198,
7000,STATE,0,0,
7224,STATE,1,198,
7800,STATE,1,197,
8000,STATE,0,0,
8230,STATE,1,199,
8751,STATE,1,199,
9000,STATE,0,0,
9226,STATE,1,196,
9755,STATE,1,196,
10000,STATE,0,1,
10000,RAISE,1,1000,17000
10238,STATE,1,194,
10714,STATE,1,196,
11000,STATE,0,1,
11279,STATE,1,198,
11742,STATE,1,200,
12000,STATE,0,0,
12000,CLEAR,1,1000,17000
12234,STATE,1,200,
12800,STATE,1,200,
13000,STATE,0,0,
13229,STATE,1,200,
13709,STATE,1,200,
14000,STATE,0,0,
14295,STATE,1,202,
14753,STATE,1,199,
15000,STATE,0,0,
15259,STATE,1,197,
15768,STATE,1,194,
16000,STATE,0,0,
16244,STATE,1,197,
16702,STATE,1,196,
17000,STATE,0,0,
17290,STATE,1,195,
17701,STATE,1,194,
18000,STATE,0,0,
18272,STATE,1,197,
18719,STATE,1,194,
19000,STATE,0,0,
19255,STATE,1,192,
19735,STATE,1,189,
20000,STATE,0,0,
20297,STATE,1,187,
20751,STATE,1,189,
21000,STATE,0,0,
21293,STATE,1,192,
21746,STATE,1,194,
22000,STATE,0,0,
22272,STATE,1,194,
22721,STATE,1,194,
23000,STATE,0,0,
23265,STATE,1,193,
23723,STATE,1,195,
24000,STATE,0,0,
24267,STATE,1,197,
24700,STATE,1,194,
25000,STATE,0,0,
25208,STATE,1,191,
25773,STATE,1,190,
26000,STATE,0,0,
26268,STATE,1,192,
26756,STATE,1,195,
27000,STATE,0,0,
27215,STATE,1,197,
27790,STATE,1,198,
28000,STATE,0,0,
28299,STATE,1,199,
28758,STATE,1,202,
29000,STATE,0,0,
29281,STATE,1,200,
29787,STATE,1,198,
