slot,t,kind,reason,ref,attempt,seq,n_elig_ev,n_elig_st,lost,delay_ms,ack_type,ack_lost
0,0,NONE,IDLE,0,0,0,0,0,0,0,,0
1,10,NONE,IDLE,0,0,0,0,0,0,0,,0
2,20,NONE,IDLE,0,0,0,0,0,0,0,,0
3,30,NONE,IDLE,0,0,0,0,0,0,0,,0
4,40,NONE,IDLE,0,0,0,0,0,0,0,,0
5,50,NONE,IDLE,0,0,0,0,0,0,0,,0
6,60,NONE,IDLE,0,0,0,0,0,0,0,,0
7,70,NONE,IDLE,0,0,0,0,0,0,0,,0
8,80,NONE,IDLE,0,0,0,0,0,0,0,,0
9,90,NONE,IDLE,0,0,0,0,0,0,0,,0
10,100,NONE,IDLE,0,0,0,0,0,0,0,,0
11,110,NONE,IDLE,0,0,0,0,0,0,0,,0
12,120,NONE,IDLE,0,0,0,0,0,0,0,,0
13,130,NONE,IDLE,0,0,0,0,0,0,0,,0
14,140,NONE,IDLE,0,0,0,0,0,0,0,,0
15,150,NONE,IDLE,0,0,0,0,0,0,0,,0
16,160,NONE,IDLE,0,0,0,0,0,0,0,,0
17,170,NONE,IDLE,0,0,0,0,0,0,0,,0
18,180,NONE,IDLE,0,0,0,0,0,0,0,,0
19,190,NONE,IDLE,0,0,0,0,0,0,0,,0
20,200,NONE,IDLE,0,0,0,0,0,0,0,,0
21,210,NONE,IDLE,0,0,0,0,0,0,0,,0
22,220,NONE,IDLE,0,0,0,0,0,0,0,,0
23,230,NONE,IDLE,0,0,0,0,0,0,0,,0
24,240,NONE,IDLE,0,0,0,0,0,0,0,,0
25,250,NONE,IDLE,0,0,0,0,0,0,0,,0
26,260,NONE,IDLE,0,0,0,0,0,0,0,,0
27,270,NONE,IDLE,0,0,0,0,0,0,0,,0
28,280,NONE,IDLE,0,0,0,0,0,0,0,,0
29,290,NONE,IDLE,0,0,0,0,0,0,0,,0
30,300,NONE,IDLE,0,0,0,0,0,0,0,,0
31,310,NONE,IDLE,0,0,0,0,0,0,0,,0
32,320,NONE,IDLE,0,0,0,0,0,0,0,,0
33,330,NONE,IDLE,0,0,0,0,0,0,0,,0
34,340,NONE,IDLE,0,0,0,0,0,0,0,,0
35,350,NONE,IDLE,0,0,0,0,0,0,0,,0
36,360,NONE,IDLE,0,0,0,0,0,0,0,,0
37,370,NONE,IDLE,0,0,0,0,0,0,0,,0
38,380,NONE,IDLE,0,0,0,0,0,0,0,,0
39,390,NONE,IDLE,0,0,0,0,0,0,0,,0
40,400,NONE,IDLE,0,0,0,0,0,0,0,,0
41,410,NONE,IDLE,0,0,0,0,0,0,0,,0
42,420,NONE,IDLE,0,0,0,0,0,0,0,,0
43,430,NONE,IDLE,0,0,0,0,0,0,0,,0
44,440,NONE,IDLE,0,0,0,0,0,0,0,,0
45,450,NONE,IDLE,0,0,0,0,0,0,0,,0
46,460,NONE,IDLE,0,0,0,0,0,0,0,,0
47,470,NONE,IDLE,0,0,0,0,0,0,0,,0
48,480,NONE,IDLE,0,0,0,0,0,0,0,,0
49,490,NONE,IDLE,0,0,0,0,0,0,0,,0
50,500,NONE,IDLE,0,0,0,0,0,0,0,,0
51,510,NONE,IDLE,0,0,0,0,0,0,0,,0
52,520,NONE,IDLE,0,0,0,0,0,0,0,,0
53,530,NONE,IDLE,0,0,0,0,0,0,0,,0
54,540,NONE,IDLE,0,0,0,0,0,0,0,,0
55,550,NONE,IDLE,0,0,0,0,0,0,0,,0
56,560,NONE,IDLE,0,0,0,0,0,0,0,,0
57,570,NONE,IDLE,0,0,0,0,0,0,0,,0
58,580,NONE,IDLE,0,0,0,0,0,0,0,,0
59,590,NONE,IDLE,0,0,0,0,0,0,0,,0
60,600,NONE,IDLE,0,0,0,0,0,0,0,,0
61,610,NONE,IDLE,0,0,0,0,0,0,0,,0
62,620,NONE,IDLE,0,0,0,0,0,0,0,,0
63,630,NONE,IDLE,0,0,0,0,0,0,0,,0
64,640,NONE,IDLE,0,0,0,0,0,0,0,,0
65,650,NONE,IDLE,0,0,0,0,0,0,0,,0
66,660,NONE,IDLE,0,0,0,0,0,0,0,,0
67,670,NONE,IDLE,0,0,0,0,0,0,0,,0
68,680,NONE,IDLE,0,0,0,0,0,0,0,,0
69,690,NONE,IDLE,0,0,0,0,0,0,0,,0
70,700,NONE,IDLE,0,0,0,0,0,0,0,,0
71,710,NONE,IDLE,0,0,0,0,0,0,0,,0
72,720,NONE,IDLE,0,0,0,0,0,0,0,,0
73,730,NONE,IDLE,0,0,0,0,0,0,0,,0
74,740,NONE,IDLE,0,0,0,0,0,0,0,,0
75,750,NONE,IDLE,0,0,0,0,0,0,0,,0
76,760,NONE,IDLE,0,0,0,0,0,0,0,,0
77,770,NONE,IDLE,0,0,0,0,0,0,0,,0
78,780,NONE,IDLE,0,0,0,0,0,0,0,,0
79,790,NONE,IDLE,0,0,0,0,0,0,0,,0
80,800,NONE,IDLE,0,0,0,0,0,0,0,,0
81,810,NONE,IDLE,0,0,0,0,0,0,0,,0
82,820,NONE,IDLE,0,0,0,0,0,0,0,,0
83,830,NONE,IDLE,0,0,0,0,0,0,0,,0
84,840,NONE,IDLE,0,0,0,0,0,0,0,,0
85,850,NONE,IDLE,0,0,0,0,0,0,0,,0
86,860,NONE,IDLE,0,0,0,0,0,0,0,,0
87,870,NONE,IDLE,0,0,0,0,0,0,0,,0
88,880,NONE,IDLE,0,0,0,0,0,0,0,,0
89,890,NONE,IDLE,0,0,0,0,0,0,0,,0
90,900,NONE,IDLE,0,0,0,0,0,0,0,,0
91,910,NONE,IDLE,0,0,0,0,0,0,0,,0
92,920,NONE,IDLE,0,0,0,0,0,0,0,,0
93,930,NONE,IDLE,0,0,0,0,0,0,0,,0
94,940,NONE,IDLE,0,0,0,0,0,0,0,,0
95,950,NONE,IDLE,0,0,0,0,0,0,0,,0
96,960,NONE,IDLE,0,0,0,0,0,0,0,,0
97,970,NONE,IDLE,0,0,0,0,0,0,0,,0
98,980,NONE,IDLE,0,0,0,0,0,0,0,,0
99,990,NONE,IDLE,0,0,0,0,0,0,0,,0
100,1000,NONE,IDLE,0,0,0,0,0,0,0,,0
101,1010,NONE,IDLE,0,0,0,0,0,0,0,,0
102,1020,NONE,IDLE,0,0,0,0,0,0,0,,0
103,1030,NONE,IDLE,0,0,0,0,0,0,0,,0
104,1040,NONE,IDLE,0,0,0,0,0,0,0,,0
105,1050,NONE,IDLE,0,0,0,0,0,0,0,,0
106,1060,NONE,IDLE,0,0,0,0,0,0,0,,0
107,1070,NONE,IDLE,0,0,0,0,0,0,0,,0
108,1080,NONE,IDLE,0,0,0,0,0,0,0,,0
109,1090,NONE,IDLE,0,0,0,0,0,0,0,,0
110,1100,NONE,IDLE,0,0,0,0,0,0,0,,0
111,1110,NONE,IDLE,0,0,0,0,0,0,0,,0
112,1120,NONE,IDLE,0,0,0,0,0,0,0,,0
113,1130,NONE,IDLE,0,0,0,0,0,0,0,,0
114,1140,NONE,IDLE,0,0,0,0,0,0,0,,0
115,1150,NONE,IDLE,0,0,0,0,0,0,0,,0
116,1160,NONE,IDLE,0,0,0,0,0,0,0,,0
117,1170,NONE,IDLE,0,0,0,0,0,0,0,,0
118,1180,NONE,IDLE,0,0,0,0,0,0,0,,0
119,1190,NONE,IDLE,0,0,0,0,0,0,0,,0
120,1200,NONE,IDLE,0,0,0,0,0,0,0,,0
121,1210,NONE,IDLE,0,0,0,0,0,0,0,,0
122,1220,NONE,IDLE,0,0,0,0,0,0,0,,0
123,1230,NONE,IDLE,0,0,0,0,0,0,0,,0
124,1240,NONE,IDLE,0,0,0,0,0,0,0,,0
125,1250,NONE,IDLE,0,0,0,0,0,0,0,,0
126,1260,NONE,IDLE,0,0,0,0,0,0,0,,0
127,1270,NONE,IDLE,0,0,0,0,0,0,0,,0
128,1280,NONE,IDLE,0,0,0,0,0,0,0,,0
129,1290,NONE,IDLE,0,0,0,0,0,0,0,,0
130,1300,NONE,IDLE,0,0,0,0,0,0,0,,0
131,1310,NONE,IDLE,0,0,0,0,0,0,0,,0
132,1320,NONE,IDLE,0,0,0,0,0,0,0,,0
133,1330,NONE,IDLE,0,0,0,0,0,0,0,,0
134,1340,NONE,IDLE,0,0,0,0,0,0,0,,0
135,1350,NONE,IDLE,0,0,0,0,0,0,0,,0
136,1360,NONE,IDLE,0,0,0,0,0,0,0,,0
137,1370,NONE,IDLE,0,0,0,0,0,0,0,,0
138,1380,NONE,IDLE,0,0,0,0,0,0,0,,0
139,1390,NONE,IDLE,0,0,0,0,0,0,0,,0
140,1400,NONE,IDLE,0,0,0,0,0,0,0,,0
141,1410,NONE,IDLE,0,0,0,0,0,0,0,,0
142,1420,NONE,IDLE,0,0,0,0,0,0,0,,0
143,1430,NONE,IDLE,0,0,0,0,0,0,0,,0
144,1440,NONE,IDLE,0,0,0,0,0,0,0,,0
145,1450,NONE,IDLE,0,0,0,0,0,0,0,,0
146,1460,NONE,IDLE,0,0,0,0,0,0,0,,0
