id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,145,6152,6352,7152,1,ACKED,6200,1,6160,6180,1,28,0,0
2,RAISE,146,6160,6360,7160,1,ACKED,6210,1,6170,6190,1,30,0,0
3,RAISE,147,6168,6368,7168,1,ACKED,6220,1,6180,6200,1,32,0,0
4,RAISE,148,6176,6376,7176,1,ACKED,6240,1,6200,6220,1,44,0,0
5,RAISE,149,6184,6384,7184,1,ACKED,6250,1,6210,6230,1,46,0,0
6,RAISE,150,6192,6392,7192,1,ACKED,6260,1,6220,6240,1,48,0,0
7,RAISE,151,6200,6400,7200,1,ACKED,6270,1,6230,6250,1,50,0,0
8,RAISE,152,6208,6408,7208,1,ACKED,6280,1,6240,6260,1,52,0,0
9,RAISE,153,6216,6416,7216,1,ACKED,6290,1,6250,6270,1,54,0,0
10,RAISE,154,6224,6424,7224,1,ACKED,6300,1,6260,6280,1,56,0,0
11,RAISE,155,6232,6432,7232,1,ACKED,6310,1,6270,6290,1,58,0,0
12,RAISE,156,6240,6440,7240,0,REJECTED_FULL,6240,0,-,-,-,-,0,0
